felis_catus ENSFCAG00000031119
panthera_pardus ENSPPRG00000023950
bison_bison_bison ENSBBBG00000001471
macaca_fascicularis ENSMFAG00000000169
macaca_nemestrina ENSMNEG00000006212
papio_anubis ENSPANG00000029466
cercocebus_atys ENSCATG00000035175
mandrillus_leucophaeus ENSMLEG00000044124
theropithecus_gelada ENSTGEG00000020918
piliocolobus_tephrosceles ENSPTEG00000026491
colobus_angolensis_palliatus ENSCANG00000038353
rhinopithecus_bieti ENSRBIG00000034270
rhinopithecus_roxellana ENSRROG00000041803
pan_paniscus ENSPPAG00000032287
nomascus_leucogenys ENSNLEG00000035297
carlito_syrichta ENSTSYG00000005690
microcebus_murinus ENSMICG00000031944
phascolarctos_cinereus ENSPCIG00000024472
anser_brachyrhynchus ENSABRG00000021235
