haplochromis_burtoni ENSHBUG00000012269
astatotilapia_calliptera ENSACLG00000021569
neolamprologus_brichardi ENSNBRG00000006525
amphilophus_citrinellus ENSACIG00000003578
xiphophorus_couchianus ENSXCOG00000016625
gambusia_affinis ENSGAFG00000011335
fundulus_heteroclitus ENSFHEG00000019173
stegastes_partitus ENSSPAG00000006067
seriola_lalandi_dorsalis ENSSLDG00000008693
anabas_testudineus ENSATEG00000005690
labrus_bergylta ENSLBEG00000016003
labrus_bergylta ENSLBEG00000005682
periophthalmus_magnuspinnatus ENSPMGG00000014647
danio_rerio ENSDARG00000100597
anser_brachyrhynchus ENSABRG00000005965
anas_platyrhynchos_platyrhynchos ENSAPLG00000030618
junco_hyemalis ENSJHYG00000018022
nothoprocta_perdicaria ENSNPEG00000000290
sus_scrofa ENSSSCG00000039870
ornithorhynchus_anatinus ENSOANG00000022218
