neovison_vison ENSNVIG00000024110
mustela_putorius_furo ENSMPUG00000012388
ursus_maritimus ENSUMAG00000004969
ursus_americanus ENSUAMG00000027776
ailuropoda_melanoleuca ENSAMEG00000001500
canis_lupus_familiaris ENSCAFG00000002092
canis_lupus_dingo ENSCAFG00020012849
vulpes_vulpes ENSVVUG00000029317
panthera_tigris_altaica ENSPTIG00000020295
panthera_pardus ENSPPRG00000004109
felis_catus ENSFCAG00000044315
ovis_aries ENSOARG00000011748
capra_hircus ENSCHIG00000020762
bos_mutus ENSBMUG00000023959
bos_taurus ENSBTAG00000037687
bison_bison_bison ENSBBBG00000019757
sus_scrofa ENSSSCG00000023591
vicugna_pacos ENSVPAG00000003635
equus_asinus_asinus ENSEASG00005004035
equus_caballus ENSECAG00000023950
pteropus_vampyrus ENSPVAG00000012637
myotis_lucifugus ENSMLUG00000002858
sorex_araneus ENSSARG00000005008
theropithecus_gelada ENSTGEG00000029701
piliocolobus_tephrosceles ENSPTEG00000010122
pongo_abelii ENSPPYG00000016678
pan_paniscus ENSPPAG00000035830
homo_sapiens ENSG00000164393
nomascus_leucogenys ENSNLEG00000004235
rhinopithecus_roxellana ENSRROG00000034989
colobus_angolensis_palliatus ENSCANG00000032220
macaca_mulatta ENSMMUG00000017954
cercocebus_atys ENSCATG00000024511
mandrillus_leucophaeus ENSMLEG00000038138
carlito_syrichta ENSTSYG00000002476
propithecus_coquereli ENSPCOG00000024108
prolemur_simus ENSPSMG00000019511
microcebus_murinus ENSMICG00000033055
otolemur_garnettii ENSOGAG00000030462
tupaia_belangeri ENSTBEG00000005842
castor_canadensis ENSCCNG00000012717
dipodomys_ordii ENSDORG00000007827
mus_spicilegus ENSMSIG00000002442
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022536
mus_musculus ENSMUSG00000057899
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021624
mus_pahari MGP_PahariEiJ_G0020616
rattus_norvegicus ENSRNOG00000025603
meriones_unguiculatus ENSMUGG00000009896
peromyscus_maniculatus_bairdii ENSPEMG00000016659
microtus_ochrogaster ENSMOCG00000001045
cricetulus_griseus_crigri ENSCGRG00000003398
cricetulus_griseus_crigri-picr ENSCGRG00015006499
cricetulus_griseus_chok1gshd ENSCGRG00001009019
mesocricetus_auratus ENSMAUG00000000367
nannospalax_galili ENSNGAG00000011718
jaculus_jaculus ENSJJAG00000016491
spermophilus_dauricus ENSSDAG00000004662
spermophilus_dauricus ENSSDAG00000004654
urocitellus_parryii ENSUPAG00010005005
ictidomys_tridecemlineatus ENSSTOG00000027651
marmota_marmota_marmota ENSMMMG00000024604
heterocephalus_glaber_female ENSHGLG00000016560
heterocephalus_glaber_male ENSHGLG00100015009
fukomys_damarensis ENSFDAG00000007873
cavia_porcellus ENSCPOG00000010766
cavia_aperea ENSCAPG00000013205
chinchilla_lanigera ENSCLAG00000010147
oryctolagus_cuniculus ENSOCUG00000013004
ochotona_princeps ENSOPRG00000011423
choloepus_hoffmanni ENSCHOG00000001794
dasypus_novemcinctus ENSDNOG00000042277
loxodonta_africana ENSLAFG00000001254
procavia_capensis ENSPCAG00000008250
echinops_telfairi ENSETEG00000002772
phascolarctos_cinereus ENSPCIG00000012640
notamacropus_eugenii ENSMEUG00000011748
monodelphis_domestica ENSMODG00000018863
ornithorhynchus_anatinus ENSOANG00000005976
apteryx_haastii ENSAHAG00000007333
apteryx_owenii ENSAOWG00000015461
apteryx_rowi ENSARWG00000013341
dromaius_novaehollandiae ENSDNVG00000001107
nothoprocta_perdicaria ENSNPEG00000008757
zonotrichia_albicollis ENSZALG00000000536
junco_hyemalis ENSJHYG00000017841
serinus_canaria ENSSCAG00000014017
taeniopygia_guttata ENSTGUG00000013212
lonchura_striata_domestica ENSLSDG00000002447
parus_major ENSPMJG00000012973
cyanistes_caeruleus ENSCCEG00000001065
ficedula_albicollis ENSFALG00000001600
manacus_vitellinus ENSMVIG00005001521
lepidothrix_coronata ENSLCOG00000010254
melopsittacus_undulatus ENSMUNG00000010606
calidris_pygmaea ENSCPGG00000018962
calidris_pugnax ENSCPUG00000010279
anas_platyrhynchos_platyrhynchos ENSAPLG00000014666
anser_brachyrhynchus ENSABRG00000002596
gallus_gallus ENSGALG00000016723
coturnix_japonica ENSCJPG00005002798
meleagris_gallopavo ENSMGAG00000014292
numida_meleagris ENSNMEG00000008668
crocodylus_porosus ENSCPRG00005000406
sphenodon_punctatus ENSSPUG00000006443
