procavia_capensis ENSPCAG00000016147
echinops_telfairi ENSETEG00000019524
loxodonta_africana ENSLAFG00000005425
bos_mutus ENSBMUG00000022705
bos_taurus ENSBTAG00000014453
bison_bison_bison ENSBBBG00000019977
ovis_aries ENSOARG00000017343
capra_hircus ENSCHIG00000022851
tursiops_truncatus ENSTTRG00000005263
sus_scrofa ENSSSCG00000026748
equus_caballus ENSECAG00000017777
equus_asinus_asinus ENSEASG00005017636
myotis_lucifugus ENSMLUG00000012154
ailuropoda_melanoleuca ENSAMEG00000014232
ursus_maritimus ENSUMAG00000008876
canis_lupus_familiaris ENSCAFG00000017658
canis_lupus_dingo ENSCAFG00020021353
vulpes_vulpes ENSVVUG00000005935
panthera_pardus ENSPPRG00000001631
panthera_tigris_altaica ENSPTIG00000017795
felis_catus ENSFCAG00000012944
sorex_araneus ENSSARG00000010172
homo_sapiens ENSG00000166851
pan_paniscus ENSPPAG00000024619
pongo_abelii ENSPPYG00000007195
nomascus_leucogenys ENSNLEG00000011984
colobus_angolensis_palliatus ENSCANG00000026559
piliocolobus_tephrosceles ENSPTEG00000017296
mandrillus_leucophaeus ENSMLEG00000035577
cercocebus_atys ENSCATG00000043141
papio_anubis ENSPANG00000018526
chlorocebus_sabaeus ENSCSAG00000006734
theropithecus_gelada ENSTGEG00000019364
macaca_mulatta ENSMMUG00000017306
macaca_nemestrina ENSMNEG00000043893
macaca_fascicularis ENSMFAG00000046112
cebus_capucinus ENSCCAG00000027444
callithrix_jacchus ENSCJAG00000020626
saimiri_boliviensis_boliviensis ENSSBOG00000021260
aotus_nancymaae ENSANAG00000025968
gorilla_gorilla ENSGGOG00000012842
pan_troglodytes ENSPTRG00000007892
rhinopithecus_roxellana ENSRROG00000037977
rhinopithecus_bieti ENSRBIG00000044742
carlito_syrichta ENSTSYG00000001333
carlito_syrichta ENSTSYG00000037479
propithecus_coquereli ENSPCOG00000015297
prolemur_simus ENSPSMG00000019049
microcebus_murinus ENSMICG00000035119
otolemur_garnettii ENSOGAG00000005574
mus_spicilegus ENSMSIG00000028255
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031533
mus_musculus ENSMUSG00000030867
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030419
mus_pahari MGP_PahariEiJ_G0013629
rattus_norvegicus ENSRNOG00000018815
meriones_unguiculatus ENSMUGG00000010169
cricetulus_griseus_chok1gshd ENSCGRG00001021855
cricetulus_griseus_crigri ENSCGRG00000001185
cricetulus_griseus_crigri-picr ENSCGRG00015014964
mesocricetus_auratus ENSMAUG00000013169
peromyscus_maniculatus_bairdii ENSPEMG00000018160
microtus_ochrogaster ENSMOCG00000020552
nannospalax_galili ENSNGAG00000023041
jaculus_jaculus ENSJJAG00000019870
chinchilla_lanigera ENSCLAG00000016113
cavia_porcellus ENSCPOG00000037504
fukomys_damarensis ENSFDAG00000008074
heterocephalus_glaber_female ENSHGLG00000009715
castor_canadensis ENSCCNG00000022161
dipodomys_ordii ENSDORG00000001245
urocitellus_parryii ENSUPAG00010010813
ictidomys_tridecemlineatus ENSSTOG00000012407
marmota_marmota_marmota ENSMMMG00000023226
oryctolagus_cuniculus ENSOCUG00000008476
ochotona_princeps ENSOPRG00000012087
cavia_aperea ENSCAPG00000000391
mustela_putorius_furo ENSMPUG00000012187
neovison_vison ENSNVIG00000005796
ursus_americanus ENSUAMG00000004546
pteropus_vampyrus ENSPVAG00000008443
peromyscus_maniculatus_bairdii ENSPEMG00000029316
peromyscus_maniculatus_bairdii ENSPEMG00000027481
spermophilus_dauricus ENSSDAG00000005686
heterocephalus_glaber_male ENSHGLG00100008677
octodon_degus ENSODEG00000013110
pan_paniscus ENSPPAG00000029474
pan_troglodytes ENSPTRG00000042694
gorilla_gorilla ENSGGOG00000024136
nomascus_leucogenys ENSNLEG00000029861
macaca_mulatta ENSMMUG00000023497
tupaia_belangeri ENSTBEG00000000330
choloepus_hoffmanni ENSCHOG00000009990
dasypus_novemcinctus ENSDNOG00000017616
phascolarctos_cinereus ENSPCIG00000026611
notamacropus_eugenii ENSMEUG00000015478
sarcophilus_harrisii ENSSHAG00000005264
monodelphis_domestica ENSMODG00000006693
ornithorhynchus_anatinus ENSOANG00000007668
chrysemys_picta_bellii ENSCPBG00000002004
chrysemys_picta_bellii ENSCPBG00000002100
gopherus_agassizii ENSGAGG00000002501
pelodiscus_sinensis ENSPSIG00000005926
calidris_pygmaea ENSCPGG00000014371
calidris_pugnax ENSCPUG00000016653
taeniopygia_guttata ENSTGUG00000006112
lonchura_striata_domestica ENSLSDG00000000353
serinus_canaria ENSSCAG00000003454
junco_hyemalis ENSJHYG00000002128
zonotrichia_albicollis ENSZALG00000009087
cyanistes_caeruleus ENSCCEG00000023187
parus_major ENSPMJG00000000369
ficedula_albicollis ENSFALG00000003778
manacus_vitellinus ENSMVIG00005008343
gallus_gallus ENSGALG00000006110
meleagris_gallopavo ENSMGAG00000006510
coturnix_japonica ENSCJPG00005010237
numida_meleagris ENSNMEG00000012166
anser_brachyrhynchus ENSABRG00000021360
dromaius_novaehollandiae ENSDNVG00000012706
apteryx_rowi ENSARWG00000002962
crocodylus_porosus ENSCPRG00005010993
sphenodon_punctatus ENSSPUG00000010418
notechis_scutatus ENSNSUG00000019391
notechis_scutatus ENSNSUG00000001740
pogona_vitticeps ENSPVIG00000009432
anolis_carolinensis ENSACAG00000012078
salvator_merianae ENSSMRG00000016815
latimeria_chalumnae ENSLACG00000004130
scophthalmus_maximus ENSSMAG00000000544
gasterosteus_aculeatus ENSGACG00000016526
xiphophorus_couchianus ENSXCOG00000005715
xiphophorus_maculatus ENSXMAG00000012832
gambusia_affinis ENSGAFG00000013489
poecilia_reticulata ENSPREG00000000073
poecilia_mexicana ENSPMEG00000020042
fundulus_heteroclitus ENSFHEG00000004658
cyprinodon_variegatus ENSCVAG00000018697
kryptolebias_marmoratus ENSKMAG00000009205
oryzias_latipes ENSORLG00020010703
oryzias_latipes ENSORLG00000009603
oryzias_latipes_asm223469v1 ENSORLG00015010079
oryzias_melastigma ENSOMEG00000019980
monopterus_albus ENSMALG00000018933
mastacembelus_armatus ENSMAMG00000007199
anabas_testudineus ENSATEG00000005392
seriola_lalandi_dorsalis ENSSLDG00000016237
seriola_dumerili ENSSDUG00000015035
labrus_bergylta ENSLBEG00000008688
takifugu_rubripes ENSTRUG00000014787
amphiprion_ocellaris ENSAOCG00000022832
amphiprion_percula ENSAPEG00000011207
acanthochromis_polyacanthus ENSAPOG00000018751
stegastes_partitus ENSSPAG00000015435
astatotilapia_calliptera ENSACLG00000004225
maylandia_zebra ENSMZEG00005013471
haplochromis_burtoni ENSHBUG00000015434
pundamilia_nyererei ENSPNYG00000006585
neolamprologus_brichardi ENSNBRG00000006324
amphilophus_citrinellus ENSACIG00000023696
cynoglossus_semilaevis ENSCSEG00000002130
periophthalmus_magnuspinnatus ENSPMGG00000015193
hippocampus_comes ENSHCOG00000011376
gadus_morhua ENSGMOG00000017959
esox_lucius ENSELUG00000016673
paramormyrops_kingsleyae ENSPKIG00000013123
paramormyrops_kingsleyae ENSPKIG00000018828
scleropages_formosus ENSSFOG00015014375
lepisosteus_oculatus ENSLOCG00000005649
eptatretus_burgeri ENSEBUG00000009778
ciona_intestinalis ENSCING00000021186
ciona_intestinalis ENSCING00000003627
ciona_savignyi ENSCSAVG00000001349
drosophila_melanogaster FBgn0003124
ciona_intestinalis ENSCING00000007490
piliocolobus_tephrosceles ENSPTEG00000013639
saccharomyces_cerevisiae YMR001C
