bos_mutus ENSBMUG00000022426
bos_taurus ENSBTAG00000045868
bison_bison_bison ENSBBBG00000021708
capra_hircus ENSCHIG00000026520
tursiops_truncatus ENSTTRG00000009049
vicugna_pacos ENSVPAG00000010606
equus_caballus ENSECAG00000011666
equus_asinus_asinus ENSEASG00005023076
myotis_lucifugus ENSMLUG00000008711
pteropus_vampyrus ENSPVAG00000016637
ursus_americanus ENSUAMG00000017225
ursus_maritimus ENSUMAG00000019345
neovison_vison ENSNVIG00000009148
canis_lupus_dingo ENSCAFG00020022586
vulpes_vulpes ENSVVUG00000002145
panthera_pardus ENSPPRG00000011294
panthera_tigris_altaica ENSPTIG00000000098
felis_catus ENSFCAG00000034400
erinaceus_europaeus ENSEEUG00000009884
sorex_araneus ENSSARG00000008507
pan_troglodytes ENSPTRG00000021269
pan_paniscus ENSPPAG00000030387
gorilla_gorilla ENSGGOG00000000731
homo_sapiens ENSG00000136866
pongo_abelii ENSPPYG00000019511
nomascus_leucogenys ENSNLEG00000016581
rhinopithecus_roxellana ENSRROG00000045115
rhinopithecus_bieti ENSRBIG00000036116
colobus_angolensis_palliatus ENSCANG00000019514
piliocolobus_tephrosceles ENSPTEG00000033974
theropithecus_gelada ENSTGEG00000028352
papio_anubis ENSPANG00000025771
cercocebus_atys ENSCATG00000040369
mandrillus_leucophaeus ENSMLEG00000025929
macaca_fascicularis ENSMFAG00000000885
macaca_mulatta ENSMMUG00000002079
macaca_nemestrina ENSMNEG00000043392
chlorocebus_sabaeus ENSCSAG00000012373
cebus_capucinus ENSCCAG00000001411
saimiri_boliviensis_boliviensis ENSSBOG00000028190
callithrix_jacchus ENSCJAG00000017766
aotus_nancymaae ENSANAG00000037396
carlito_syrichta ENSTSYG00000006533
propithecus_coquereli ENSPCOG00000028660
microcebus_murinus ENSMICG00000042832
prolemur_simus ENSPSMG00000025642
tupaia_belangeri ENSTBEG00000006629
mus_musculus ENSMUSG00000028389
mus_spicilegus ENSMSIG00000019655
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027037
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026073
mus_pahari MGP_PahariEiJ_G0028408
rattus_norvegicus ENSRNOG00000046629
rattus_norvegicus ENSRNOG00000051078
meriones_unguiculatus ENSMUGG00000019166
cricetulus_griseus_chok1gshd ENSCGRG00001017264
cricetulus_griseus_crigri ENSCGRG00000011085
cricetulus_griseus_crigri-picr ENSCGRG00015026919
mesocricetus_auratus ENSMAUG00000015993
peromyscus_maniculatus_bairdii ENSPEMG00000000479
microtus_ochrogaster ENSMOCG00000019734
nannospalax_galili ENSNGAG00000022797
jaculus_jaculus ENSJJAG00000008662
ictidomys_tridecemlineatus ENSSTOG00000030170
urocitellus_parryii ENSUPAG00010015187
spermophilus_dauricus ENSSDAG00000009273
marmota_marmota_marmota ENSMMMG00000001776
chinchilla_lanigera ENSCLAG00000009731
octodon_degus ENSODEG00000018059
cavia_porcellus ENSCPOG00000038442
heterocephalus_glaber_female ENSHGLG00000011318
heterocephalus_glaber_male ENSHGLG00100007277
fukomys_damarensis ENSFDAG00000013291
oryctolagus_cuniculus ENSOCUG00000029203
ochotona_princeps ENSOPRG00000005830
dasypus_novemcinctus ENSDNOG00000048008
choloepus_hoffmanni ENSCHOG00000007666
echinops_telfairi ENSETEG00000010531
