serinus_canaria ENSSCAG00000016896
lepidothrix_coronata ENSLCOG00000014545
melopsittacus_undulatus ENSMUNG00000012279
calidris_pygmaea ENSCPGG00000005941
calidris_pugnax ENSCPUG00000014479
anser_brachyrhynchus ENSABRG00000020269
anas_platyrhynchos_platyrhynchos ENSAPLG00000017769
numida_meleagris ENSNMEG00000012637
dromaius_novaehollandiae ENSDNVG00000017906
apteryx_haastii ENSAHAG00000014300
pogona_vitticeps ENSPVIG00000019766
notechis_scutatus ENSNSUG00000013154
sphenodon_punctatus ENSSPUG00000003355
