nothoprocta_perdicaria ENSNPEG00000012681
apteryx_haastii ENSAHAG00000003569
anser_brachyrhynchus ENSABRG00000007949
calidris_pygmaea ENSCPGG00000005289
pelodiscus_sinensis ENSPSIG00000016240
castor_canadensis ENSCCNG00000016312
heterocephalus_glaber_male ENSHGLG00100011608
ictidomys_tridecemlineatus ENSSTOG00000032414
spermophilus_dauricus ENSSDAG00000022391
urocitellus_parryii ENSUPAG00010008971
marmota_marmota_marmota ENSMMMG00000005800
oryctolagus_cuniculus ENSOCUG00000015872
ochotona_princeps ENSOPRG00000012578
tupaia_belangeri ENSTBEG00000010910
pan_paniscus ENSPPAG00000029422
pan_troglodytes ENSPTRG00000016273
homo_sapiens ENSG00000138646
gorilla_gorilla ENSGGOG00000010944
pongo_abelii ENSPPYG00000014925
nomascus_leucogenys ENSNLEG00000009725
papio_anubis ENSPANG00000014742
theropithecus_gelada ENSTGEG00000005316
macaca_fascicularis ENSMFAG00000045729
macaca_nemestrina ENSMNEG00000040366
macaca_mulatta ENSMMUG00000010316
mandrillus_leucophaeus ENSMLEG00000041218
cercocebus_atys ENSCATG00000038271
chlorocebus_sabaeus ENSCSAG00000004292
piliocolobus_tephrosceles ENSPTEG00000021183
colobus_angolensis_palliatus ENSCANG00000042570
rhinopithecus_bieti ENSRBIG00000028904
rhinopithecus_roxellana ENSRROG00000044042
cebus_capucinus ENSCCAG00000019767
saimiri_boliviensis_boliviensis ENSSBOG00000036207
callithrix_jacchus ENSCJAG00000006474
aotus_nancymaae ENSANAG00000024422
carlito_syrichta ENSTSYG00000004292
propithecus_coquereli ENSPCOG00000021926
prolemur_simus ENSPSMG00000002298
otolemur_garnettii ENSOGAG00000017226
heterocephalus_glaber_female ENSHGLG00000007578
fukomys_damarensis ENSFDAG00000015642
cavia_porcellus ENSCPOG00000014376
ovis_aries ENSOARG00000000530
capra_hircus ENSCHIG00000009824
bos_taurus ENSBTAG00000020538
bos_mutus ENSBMUG00000020644
bison_bison_bison ENSBBBG00000010827
tursiops_truncatus ENSTTRG00000003889
vicugna_pacos ENSVPAG00000002771
sus_scrofa ENSSSCG00000030548
equus_caballus ENSECAG00000015395
equus_asinus_asinus ENSEASG00005012643
myotis_lucifugus ENSMLUG00000012227
myotis_lucifugus ENSMLUG00000027952
pteropus_vampyrus ENSPVAG00000003571
ursus_americanus ENSUAMG00000022735
ursus_maritimus ENSUMAG00000004422
ailuropoda_melanoleuca ENSAMEG00000003022
mustela_putorius_furo ENSMPUG00000002169
neovison_vison ENSNVIG00000022139
vulpes_vulpes ENSVVUG00000007941
canis_lupus_familiaris ENSCAFG00000029051
canis_lupus_familiaris ENSCAFG00000009800
canis_lupus_dingo ENSCAFG00020007018
panthera_tigris_altaica ENSPTIG00000002645
panthera_pardus ENSPPRG00000018278
felis_catus ENSFCAG00000006163
erinaceus_europaeus ENSEEUG00000012075
sorex_araneus ENSSARG00000009232
choloepus_hoffmanni ENSCHOG00000006524
dasypus_novemcinctus ENSDNOG00000014104
loxodonta_africana ENSLAFG00000011856
procavia_capensis ENSPCAG00000006846
echinops_telfairi ENSETEG00000004272
microcebus_murinus ENSMICG00000027712
