chinchilla_lanigera ENSCLAG00000017949
octodon_degus ENSODEG00000019666
cavia_porcellus ENSCPOG00000030946
heterocephalus_glaber_female ENSHGLG00000009142
heterocephalus_glaber_male ENSHGLG00100016337
fukomys_damarensis ENSFDAG00000021017
dipodomys_ordii ENSDORG00000015482
cebus_capucinus ENSCCAG00000031625
callithrix_jacchus ENSCJAG00000022625
saimiri_boliviensis_boliviensis ENSSBOG00000018871
aotus_nancymaae ENSANAG00000020517
aotus_nancymaae ENSANAG00000002736
cebus_capucinus ENSCCAG00000037118
pan_paniscus ENSPPAG00000013532
pan_troglodytes ENSPTRG00000001022
gorilla_gorilla ENSGGOG00000028522
homo_sapiens ENSG00000198890
pongo_abelii ENSPPYG00000010685
nomascus_leucogenys ENSNLEG00000032446
rhinopithecus_bieti ENSRBIG00000009563
colobus_angolensis_palliatus ENSCANG00000008600
chlorocebus_sabaeus ENSCSAG00000000161
piliocolobus_tephrosceles ENSPTEG00000021691
rhinopithecus_roxellana ENSRROG00000021523
macaca_mulatta ENSMMUG00000006802
macaca_nemestrina ENSMNEG00000037964
macaca_fascicularis ENSMFAG00000017156
cercocebus_atys ENSCATG00000043273
mandrillus_leucophaeus ENSMLEG00000009047
theropithecus_gelada ENSTGEG00000027602
papio_anubis ENSPANG00000004113
peromyscus_maniculatus_bairdii ENSPEMG00000014774
microtus_ochrogaster ENSMOCG00000005923
cricetulus_griseus_chok1gshd ENSCGRG00001012887
cricetulus_griseus_crigri ENSCGRG00000009243
cricetulus_griseus_crigri-picr ENSCGRG00015026967
mus_spicilegus ENSMSIG00000011756
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026500
mus_musculus ENSMUSG00000049300
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025550
mus_pahari MGP_PahariEiJ_G0026996
rattus_norvegicus ENSRNOG00000017187
rattus_norvegicus ENSRNOG00000048996
meriones_unguiculatus ENSMUGG00000011028
nannospalax_galili ENSNGAG00000012858
castor_canadensis ENSCCNG00000014224
urocitellus_parryii ENSUPAG00010005729
spermophilus_dauricus ENSSDAG00000000508
ictidomys_tridecemlineatus ENSSTOG00000010675
marmota_marmota_marmota ENSMMMG00000008646
ochotona_princeps ENSOPRG00000002067
tupaia_belangeri ENSTBEG00000006318
microcebus_murinus ENSMICG00000016977
propithecus_coquereli ENSPCOG00000010650
prolemur_simus ENSPSMG00000003765
otolemur_garnettii ENSOGAG00000033307
myotis_lucifugus ENSMLUG00000007086
erinaceus_europaeus ENSEEUG00000010272
tursiops_truncatus ENSTTRG00000002369
sus_scrofa ENSSSCG00000006853
bos_taurus ENSBTAG00000039951
bos_mutus ENSBMUG00000003191
bison_bison_bison ENSBBBG00000009305
capra_hircus ENSCHIG00000006399
ovis_aries ENSOARG00000011289
ursus_americanus ENSUAMG00000012045
ursus_maritimus ENSUMAG00000012411
ailuropoda_melanoleuca ENSAMEG00000019713
mustela_putorius_furo ENSMPUG00000019442
neovison_vison ENSNVIG00000004917
canis_lupus_dingo ENSCAFG00020011292
canis_lupus_familiaris ENSCAFG00000023098
vulpes_vulpes ENSVVUG00000000466
panthera_tigris_altaica ENSPTIG00000005241
panthera_pardus ENSPPRG00000021476
felis_catus ENSFCAG00000014050
equus_asinus_asinus ENSEASG00005022613
equus_caballus ENSECAG00000003427
loxodonta_africana ENSLAFG00000025614
procavia_capensis ENSPCAG00000011732
dasypus_novemcinctus ENSDNOG00000002236
choloepus_hoffmanni ENSCHOG00000007750
notamacropus_eugenii ENSMEUG00000000402
phascolarctos_cinereus ENSPCIG00000010181
monodelphis_domestica ENSMODG00000002823
xenopus_tropicalis ENSXETG00000009939
latimeria_chalumnae ENSLACG00000000477
latimeria_chalumnae ENSLACG00000000478
pygocentrus_nattereri ENSPNAG00000015218
astyanax_mexicanus ENSAMXG00000025997
ictalurus_punctatus ENSIPUG00000002889
danio_rerio ENSDARG00000069706
labrus_bergylta ENSLBEG00000024927
labrus_bergylta ENSLBEG00000003036
hippocampus_comes ENSHCOG00000017120
mastacembelus_armatus ENSMAMG00000007319
cynoglossus_semilaevis ENSCSEG00000013496
takifugu_rubripes ENSTRUG00000022052
takifugu_rubripes ENSTRUG00000019594
tetraodon_nigroviridis ENSTNIG00000018964
gasterosteus_aculeatus ENSGACG00000002056
xiphophorus_maculatus ENSXMAG00000006494
xiphophorus_couchianus ENSXCOG00000005017
gambusia_affinis ENSGAFG00000017234
poecilia_formosa ENSPFOG00000019926
poecilia_mexicana ENSPMEG00000017819
