cricetulus_griseus_crigri-picr ENSCGRG00015017711
cricetulus_griseus_chok1gshd ENSCGRG00001002644
mesocricetus_auratus ENSMAUG00000010383
peromyscus_maniculatus_bairdii ENSPEMG00000025306
peromyscus_maniculatus_bairdii ENSPEMG00000031400
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022600
mus_musculus ENSMUSG00000062619
mus_spicilegus ENSMSIG00000011052
mus_pahari MGP_PahariEiJ_G0020679
rattus_norvegicus ENSRNOG00000046871
meriones_unguiculatus ENSMUGG00000024645
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021688
pan_paniscus ENSPPAG00000021377
pan_troglodytes ENSPTRG00000039895
homo_sapiens ENSG00000221821
gorilla_gorilla ENSGGOG00000009956
pongo_abelii ENSPPYG00000016620
macaca_mulatta ENSMMUG00000020248
papio_anubis ENSPANG00000035378
mandrillus_leucophaeus ENSMLEG00000037518
piliocolobus_tephrosceles ENSPTEG00000019626
callithrix_jacchus ENSCJAG00000023341
cebus_capucinus ENSCCAG00000028662
vicugna_pacos ENSVPAG00000015438
gasterosteus_aculeatus ENSGACG00000011945
mastacembelus_armatus ENSMAMG00000000625
oryzias_latipes ENSORLG00000029988
