heterocephalus_glaber_female ENSHGLG00000013081
fukomys_damarensis ENSFDAG00000019223
octodon_degus ENSODEG00000015491
cavia_porcellus ENSCPOG00000009347
dipodomys_ordii ENSDORG00000004965
marmota_marmota_marmota ENSMMMG00000008899
ictidomys_tridecemlineatus ENSSTOG00000010785
urocitellus_parryii ENSUPAG00010006246
mus_musculus ENSMUSG00000026955
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023270
mus_spicilegus ENSMSIG00000023070
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024187
mus_pahari MGP_PahariEiJ_G0024728
rattus_norvegicus ENSRNOG00000013069
meriones_unguiculatus ENSMUGG00000006630
cricetulus_griseus_crigri ENSCGRG00000000919
cricetulus_griseus_chok1gshd ENSCGRG00001017804
cricetulus_griseus_crigri-picr ENSCGRG00015007375
mesocricetus_auratus ENSMAUG00000019171
peromyscus_maniculatus_bairdii ENSPEMG00000010207
microtus_ochrogaster ENSMOCG00000016720
nannospalax_galili ENSNGAG00000019600
jaculus_jaculus ENSJJAG00000021677
castor_canadensis ENSCCNG00000009484
oryctolagus_cuniculus ENSOCUG00000010287
propithecus_coquereli ENSPCOG00000009183
prolemur_simus ENSPSMG00000006725
microcebus_murinus ENSMICG00000046803
otolemur_garnettii ENSOGAG00000034370
pan_troglodytes ENSPTRG00000047923
pan_paniscus ENSPPAG00000032210
gorilla_gorilla ENSGGOG00000025996
homo_sapiens ENSG00000186193
pongo_abelii ENSPPYG00000019804
nomascus_leucogenys ENSNLEG00000008908
macaca_fascicularis ENSMFAG00000033050
macaca_nemestrina ENSMNEG00000030414
chlorocebus_sabaeus ENSCSAG00000016450
theropithecus_gelada ENSTGEG00000005242
papio_anubis ENSPANG00000026260
cercocebus_atys ENSCATG00000045112
rhinopithecus_roxellana ENSRROG00000039152
piliocolobus_tephrosceles ENSPTEG00000024107
rhinopithecus_bieti ENSRBIG00000034435
rhinopithecus_bieti ENSRBIG00000017086
colobus_angolensis_palliatus ENSCANG00000040134
mandrillus_leucophaeus ENSMLEG00000031929
papio_anubis ENSPANG00000030482
rhinopithecus_roxellana ENSRROG00000040963
pan_troglodytes ENSPTRG00000039718
pan_troglodytes ENSPTRG00000048323
gorilla_gorilla ENSGGOG00000042380
pan_troglodytes ENSPTRG00000050909
pan_troglodytes ENSPTRG00000048826
gorilla_gorilla ENSGGOG00000004165
cebus_capucinus ENSCCAG00000024653
callithrix_jacchus ENSCJAG00000012905
saimiri_boliviensis_boliviensis ENSSBOG00000030449
aotus_nancymaae ENSANAG00000021517
bos_taurus ENSBTAG00000047807
capra_hircus ENSCHIG00000021112
tursiops_truncatus ENSTTRG00000002090
sus_scrofa ENSSSCG00000032279
equus_asinus_asinus ENSEASG00005017376
equus_caballus ENSECAG00000031808
erinaceus_europaeus ENSEEUG00000006872
felis_catus ENSFCAG00000010490
panthera_pardus ENSPPRG00000007437
canis_lupus_familiaris ENSCAFG00000019520
canis_lupus_dingo ENSCAFG00020003000
vulpes_vulpes ENSVVUG00000002142
pteropus_vampyrus ENSPVAG00000002061
ailuropoda_melanoleuca ENSAMEG00000013497
mustela_putorius_furo ENSMPUG00000010761
bos_mutus ENSBMUG00000000603
loxodonta_africana ENSLAFG00000008741
procavia_capensis ENSPCAG00000001783
dasypus_novemcinctus ENSDNOG00000034765
notamacropus_eugenii ENSMEUG00000009527
phascolarctos_cinereus ENSPCIG00000036025
sarcophilus_harrisii ENSSHAG00000013090
monodelphis_domestica ENSMODG00000017251
dasypus_novemcinctus ENSDNOG00000042924
anolis_carolinensis ENSACAG00000002166
danio_rerio ENSDARG00000115167
notechis_scutatus ENSNSUG00000003105
pogona_vitticeps ENSPVIG00000025679
salvator_merianae ENSSMRG00000011577
sphenodon_punctatus ENSSPUG00000011927
apteryx_haastii ENSAHAG00000017608
apteryx_rowi ENSARWG00000006733
apteryx_owenii ENSAOWG00000000978
dromaius_novaehollandiae ENSDNVG00000002838
coturnix_japonica ENSCJPG00005015777
meleagris_gallopavo ENSMGAG00000001034
gallus_gallus ENSGALG00000047102
numida_meleagris ENSNMEG00000022777
anas_platyrhynchos_platyrhynchos ENSAPLG00000005630
lonchura_striata_domestica ENSLSDG00000014293
taeniopygia_guttata ENSTGUG00000002330
serinus_canaria ENSSCAG00000011823
junco_hyemalis ENSJHYG00000016718
zonotrichia_albicollis ENSZALG00000010963
parus_major ENSPMJG00000015163
lepidothrix_coronata ENSLCOG00000003034
manacus_vitellinus ENSMVIG00005010913
ficedula_albicollis ENSFALG00000004815
calidris_pygmaea ENSCPGG00000009367
melopsittacus_undulatus ENSMUNG00000009683
calidris_pugnax ENSCPUG00000007580
crocodylus_porosus ENSCPRG00005010651
chelonoidis_abingdonii ENSCABG00000012861
chrysemys_picta_bellii ENSCPBG00000010706
gopherus_agassizii ENSGAGG00000009840
pelodiscus_sinensis ENSPSIG00000010469
latimeria_chalumnae ENSLACG00000015864
scleropages_formosus ENSSFOG00015009343
paramormyrops_kingsleyae ENSPKIG00000017704
xiphophorus_couchianus ENSXCOG00000001154
poecilia_reticulata ENSPREG00000014882
cyprinodon_variegatus ENSCVAG00000016870
kryptolebias_marmoratus ENSKMAG00000009594
pundamilia_nyererei ENSPNYG00000009762
haplochromis_burtoni ENSHBUG00000023067
neolamprologus_brichardi ENSNBRG00000006464
amphilophus_citrinellus ENSACIG00000019450
gasterosteus_aculeatus ENSGACG00000016739
mola_mola ENSMMOG00000000060
periophthalmus_magnuspinnatus ENSPMGG00000008840
gadus_morhua ENSGMOG00000006680
esox_lucius ENSELUG00000000472
astyanax_mexicanus ENSAMXG00000038015
pygocentrus_nattereri ENSPNAG00000027305
ictalurus_punctatus ENSIPUG00000016069
lepisosteus_oculatus ENSLOCG00000001053
latimeria_chalumnae ENSLACG00000015450
