mus_musculus ENSMUSG00000001029
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018167
mus_spicilegus ENSMSIG00000024805
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017323
mus_pahari MGP_PahariEiJ_G0018453
rattus_norvegicus ENSRNOG00000025143
meriones_unguiculatus ENSMUGG00000017627
cricetulus_griseus_chok1gshd ENSCGRG00001025007
cricetulus_griseus_crigri ENSCGRG00000012444
cricetulus_griseus_crigri-picr ENSCGRG00015022152
mesocricetus_auratus ENSMAUG00000016077
peromyscus_maniculatus_bairdii ENSPEMG00000004658
microtus_ochrogaster ENSMOCG00000022483
nannospalax_galili ENSNGAG00000018569
jaculus_jaculus ENSJJAG00000015739
dipodomys_ordii ENSDORG00000003800
dipodomys_ordii ENSDORG00000007048
castor_canadensis ENSCCNG00000019335
ictidomys_tridecemlineatus ENSSTOG00000009058
urocitellus_parryii ENSUPAG00010001458
spermophilus_dauricus ENSSDAG00000009144
marmota_marmota_marmota ENSMMMG00000010305
chinchilla_lanigera ENSCLAG00000007585
octodon_degus ENSODEG00000007206
cavia_aperea ENSCAPG00000008574
cavia_porcellus ENSCPOG00000039385
heterocephalus_glaber_male ENSHGLG00100003340
heterocephalus_glaber_female ENSHGLG00000006353
fukomys_damarensis ENSFDAG00000001624
oryctolagus_cuniculus ENSOCUG00000012856
ochotona_princeps ENSOPRG00000015151
pan_troglodytes ENSPTRG00000009534
pan_paniscus ENSPPAG00000036010
homo_sapiens ENSG00000108622
gorilla_gorilla ENSGGOG00000014108
pongo_abelii ENSPPYG00000008538
nomascus_leucogenys ENSNLEG00000015088
rhinopithecus_bieti ENSRBIG00000029827
rhinopithecus_roxellana ENSRROG00000037894
piliocolobus_tephrosceles ENSPTEG00000010377
colobus_angolensis_palliatus ENSCANG00000019510
macaca_fascicularis ENSMFAG00000033733
macaca_nemestrina ENSMNEG00000039115
macaca_mulatta ENSMMUG00000014656
theropithecus_gelada ENSTGEG00000023820
papio_anubis ENSPANG00000020740
mandrillus_leucophaeus ENSMLEG00000036692
cercocebus_atys ENSCATG00000024920
chlorocebus_sabaeus ENSCSAG00000003987
callithrix_jacchus ENSCJAG00000019438
cebus_capucinus ENSCCAG00000029456
saimiri_boliviensis_boliviensis ENSSBOG00000031442
aotus_nancymaae ENSANAG00000035089
carlito_syrichta ENSTSYG00000036454
propithecus_coquereli ENSPCOG00000014373
prolemur_simus ENSPSMG00000012223
microcebus_murinus ENSMICG00000042703
otolemur_garnettii ENSOGAG00000003862
tursiops_truncatus ENSTTRG00000007004
vicugna_pacos ENSVPAG00000002436
ovis_aries ENSOARG00000014212
ovis_aries ENSOARG00000014197
capra_hircus ENSCHIG00000019712
capra_hircus ENSCHIG00000026728
bos_taurus ENSBTAG00000019432
bos_mutus ENSBMUG00000008544
bison_bison_bison ENSBBBG00000023034
bison_bison_bison ENSBBBG00000014382
bos_taurus ENSBTAG00000055302
sus_scrofa ENSSSCG00000039909
myotis_lucifugus ENSMLUG00000014434
equus_caballus ENSECAG00000000396
equus_asinus_asinus ENSEASG00005014356
erinaceus_europaeus ENSEEUG00000005236
ursus_americanus ENSUAMG00000007433
ursus_maritimus ENSUMAG00000017521
ailuropoda_melanoleuca ENSAMEG00000002892
neovison_vison ENSNVIG00000023685
mustela_putorius_furo ENSMPUG00000014775
canis_lupus_dingo ENSCAFG00020026585
canis_lupus_familiaris ENSCAFG00000011802
vulpes_vulpes ENSVVUG00000006208
panthera_pardus ENSPPRG00000008863
panthera_tigris_altaica ENSPTIG00000021615
felis_catus ENSFCAG00000044004
dasypus_novemcinctus ENSDNOG00000002412
loxodonta_africana ENSLAFG00000005001
procavia_capensis ENSPCAG00000008868
echinops_telfairi ENSETEG00000006298
tupaia_belangeri ENSTBEG00000003958
phascolarctos_cinereus ENSPCIG00000005772
notamacropus_eugenii ENSMEUG00000007798
sarcophilus_harrisii ENSSHAG00000014030
monodelphis_domestica ENSMODG00000009351
