ictalurus_punctatus ENSIPUG00000004633
electrophorus_electricus ENSEEEG00000006424
astyanax_mexicanus ENSAMXG00000019691
astyanax_mexicanus ENSAMXG00005001041
pygocentrus_nattereri ENSPNAG00000018796
danio_rerio ENSDARG00000037002
denticeps_clupeoides ENSDCDG00000026111
clupea_harengus ENSCHAG00000013536
hucho_hucho ENSHHUG00000046253
esox_lucius ENSELUG00000014272
mastacembelus_armatus ENSMAMG00000005920
monopterus_albus ENSMALG00000003536
betta_splendens ENSBSLG00000010880
anabas_testudineus ENSATEG00000001874
periophthalmus_magnuspinnatus ENSPMGG00000006634
seriola_dumerili ENSSDUG00000022323
seriola_lalandi ENSSLDG00000018799
lates_calcarifer ENSLCAG00010017193
scophthalmus_maximus ENSSMAG00000008149
cynoglossus_semilaevis ENSCSEG00000018988
cynoglossus_semilaevis ENSCSEG00000014055
cottoperca_gobio ENSCGOG00000013542
gasterosteus_aculeatus ENSGACG00000013872
labrus_bergylta ENSLBEG00000026485
mola_mola ENSMMOG00000018072
takifugu_rubripes ENSTRUG00000025441
larimichthys_crocea ENSLCRG00005022386
amphiprion_ocellaris ENSAOCG00000018049
amphiprion_percula ENSAPEG00000012559
acanthochromis_polyacanthus ENSAPOG00000005095
stegastes_partitus ENSSPAG00000007632
gouania_willdenowi ENSGWIG00000023551
astatotilapia_calliptera ENSACLG00000020524
maylandia_zebra ENSMZEG00005013783
haplochromis_burtoni ENSHBUG00000007524
neolamprologus_brichardi ENSNBRG00000023188
pundamilia_nyererei ENSPNYG00000017508
oreochromis_niloticus ENSONIG00000016897
amphilophus_citrinellus ENSACIG00000002527
fundulus_heteroclitus ENSFHEG00000003641
cyprinodon_variegatus ENSCVAG00000015400
poecilia_formosa ENSPFOG00000006104
poecilia_latipinna ENSPLAG00000005034
poecilia_mexicana ENSPMEG00000018012
poecilia_reticulata ENSPREG00000007481
xiphophorus_maculatus ENSXMAG00000026483
gambusia_affinis ENSGAFG00000016810
kryptolebias_marmoratus ENSKMAG00000008033
oryzias_latipes ENSORLG00020012504
oryzias_melastigma ENSOMEG00000008840
hippocampus_comes ENSHCOG00000000547
gadus_morhua ENSGMOG00000017747
paramormyrops_kingsleyae ENSPKIG00000013454
scleropages_formosus ENSSFOG00015023869
lepisosteus_oculatus ENSLOCG00000003194
