junco_hyemalis ENSJHYG00000014341
serinus_canaria ENSSCAG00000001238
gopherus_agassizii ENSGAGG00000022925
notechis_scutatus ENSNSUG00000011234
pan_troglodytes ENSPTRG00000046421
pan_paniscus ENSPPAG00000002837
gorilla_gorilla ENSGGOG00000037208
pongo_abelii ENSPPYG00000003721
nomascus_leucogenys ENSNLEG00000030722
mandrillus_leucophaeus ENSMLEG00000026673
theropithecus_gelada ENSTGEG00000002608
callithrix_jacchus ENSCJAG00000022084
prolemur_simus ENSPSMG00000013755
peromyscus_maniculatus_bairdii ENSPEMG00000024646
mus_spicilegus ENSMSIG00000010763
nannospalax_galili ENSNGAG00000019156
chinchilla_lanigera ENSCLAG00000013655
equus_caballus ENSECAG00000005835
equus_asinus_asinus ENSEASG00005013872
bos_mutus ENSBMUG00000012154
bos_taurus ENSBTAG00000045601
bison_bison_bison ENSBBBG00000004952
capra_hircus ENSCHIG00000012136
ursus_maritimus ENSUMAG00000011427
ursus_americanus ENSUAMG00000022623
neovison_vison ENSNVIG00000001038
canis_lupus_dingo ENSCAFG00020000514
vulpes_vulpes ENSVVUG00000022864
panthera_pardus ENSPPRG00000017162
panthera_tigris_altaica ENSPTIG00000009874
felis_catus ENSFCAG00000034388
sus_scrofa ENSSSCG00000035801
