poecilia_reticulata ENSPREG00000021749
xiphophorus_couchianus ENSXCOG00000019230
kryptolebias_marmoratus ENSKMAG00000007160
neolamprologus_brichardi ENSNBRG00000020974
astatotilapia_calliptera ENSACLG00000011215
amphiprion_percula ENSAPEG00000009716
labrus_bergylta ENSLBEG00000026579
mastacembelus_armatus ENSMAMG00000020963
periophthalmus_magnuspinnatus ENSPMGG00000022910
periophthalmus_magnuspinnatus ENSPMGG00000009137
hucho_hucho ENSHHUG00000012029
electrophorus_electricus ENSEEEG00000003294
denticeps_clupeoides ENSDCDG00000013643
denticeps_clupeoides ENSDCDG00000030916
scleropages_formosus ENSSFOG00015018219
