amphiprion_percula ENSAPEG00000013741
amphiprion_ocellaris ENSAOCG00000009862
stegastes_partitus ENSSPAG00000008164
maylandia_zebra ENSMZEG00005007701
haplochromis_burtoni ENSHBUG00000018742
amphilophus_citrinellus ENSACIG00000009089
gambusia_affinis ENSGAFG00000010625
xiphophorus_maculatus ENSXMAG00000023241
poecilia_mexicana ENSPMEG00000014144
poecilia_latipinna ENSPLAG00000010888
poecilia_reticulata ENSPREG00000000426
kryptolebias_marmoratus ENSKMAG00000018776
oryzias_latipes ENSORLG00020004960
oryzias_latipes ENSORLG00000012029
oryzias_latipes_asm223469v1 ENSORLG00015003626
oryzias_melastigma ENSOMEG00000012941
scophthalmus_maximus ENSSMAG00000004820
monopterus_albus ENSMALG00000005907
labrus_bergylta ENSLBEG00000004837
takifugu_rubripes ENSTRUG00000023234
esox_lucius ENSELUG00000016059
paramormyrops_kingsleyae ENSPKIG00000003492
