spermophilus_dauricus ENSSDAG00000009989
urocitellus_parryii ENSUPAG00010015338
marmota_marmota ENSMMMG00000005078
meriones_unguiculatus ENSMUGG00000002112
meriones_unguiculatus ENSMUGG00000002137
otolemur_garnettii ENSOGAG00000029286
equus_caballus ENSECAG00000043335
myotis_lucifugus ENSMLUG00000024063
vombatus_ursinus ENSVURG00010020166
vombatus_ursinus ENSVURG00010002069
phascolarctos_cinereus ENSPCIG00000033766
monodelphis_domestica ENSMODG00000001253
sarcophilus_harrisii ENSSHAG00000010703
ornithorhynchus_anatinus ENSOANG00000014209
gopherus_agassizii ENSGAGG00000010915
chelonoidis_abingdonii ENSCABG00000021869
chrysemys_picta ENSCPBG00000022454
pelodiscus_sinensis ENSPSIG00000010849
xenopus_tropicalis ENSXETG00000001957
latimeria_chalumnae ENSLACG00000009017
cynoglossus_semilaevis ENSCSEG00000004997
cynoglossus_semilaevis ENSCSEG00000004998
gouania_willdenowi ENSGWIG00000001602
larimichthys_crocea ENSLCRG00005006825
labrus_bergylta ENSLBEG00000007896
mola_mola ENSMMOG00000000881
cottoperca_gobio ENSCGOG00000004937
gasterosteus_aculeatus ENSGACG00000008027
mastacembelus_armatus ENSMAMG00000014575
monopterus_albus ENSMALG00000010428
anabas_testudineus ENSATEG00000007695
seriola_dumerili ENSSDUG00000001992
seriola_lalandi ENSSLDG00000023341
lates_calcarifer ENSLCAG00010009105
amphiprion_ocellaris ENSAOCG00000004519
amphiprion_percula ENSAPEG00000012384
acanthochromis_polyacanthus ENSAPOG00000011138
stegastes_partitus ENSSPAG00000015492
parambassis_ranga ENSPRNG00000004147
maylandia_zebra ENSMZEG00005013694
astatotilapia_calliptera ENSACLG00000002413
haplochromis_burtoni ENSHBUG00000018677
pundamilia_nyererei ENSPNYG00000014080
neolamprologus_brichardi ENSNBRG00000017320
oreochromis_niloticus ENSONIG00000002882
amphilophus_citrinellus ENSACIG00000017178
kryptolebias_marmoratus ENSKMAG00000016123
kryptolebias_marmoratus ENSKMAG00000016115
xiphophorus_maculatus ENSXMAG00000015166
xiphophorus_couchianus ENSXCOG00000000413
gambusia_affinis ENSGAFG00000004933
poecilia_formosa ENSPFOG00000009892
poecilia_mexicana ENSPMEG00000018735
poecilia_latipinna ENSPLAG00000020399
poecilia_reticulata ENSPREG00000002406
fundulus_heteroclitus ENSFHEG00000014284
cyprinodon_variegatus ENSCVAG00000013033
oryzias_latipes ENSORLG00015001437
oryzias_latipes ENSORLG00000007067
oryzias_latipes ENSORLG00020016490
oryzias_melastigma ENSOMEG00000020123
takifugu_rubripes ENSTRUG00000015834
tetraodon_nigroviridis ENSTNIG00000018444
betta_splendens ENSBSLG00000025413
hippocampus_comes ENSHCOG00000012412
periophthalmus_magnuspinnatus ENSPMGG00000011713
gadus_morhua ENSGMOG00000009764
esox_lucius ENSELUG00000006893
esox_lucius ENSELUG00000006880
hucho_hucho ENSHHUG00000003340
hucho_hucho ENSHHUG00000008807
denticeps_clupeoides ENSDCDG00000004967
clupea_harengus ENSCHAG00000016505
astyanax_mexicanus ENSAMXG00005003284
ictalurus_punctatus ENSIPUG00000001873
pygocentrus_nattereri ENSPNAG00000003375
hucho_hucho ENSHHUG00000037398
danio_rerio ENSDARG00000056750
scleropages_formosus ENSSFOG00015000722
paramormyrops_kingsleyae ENSPKIG00000019954
lepisosteus_oculatus ENSLOCG00000011557
erpetoichthys_calabaricus ENSECRG00000011491
seriola_lalandi ENSSLDG00000005576
lates_calcarifer ENSLCAG00010009103
oryzias_latipes ENSORLG00015001443
oryzias_latipes ENSORLG00000021856
mastacembelus_armatus ENSMAMG00000014626
ictalurus_punctatus ENSIPUG00000001866
paramormyrops_kingsleyae ENSPKIG00000019940
