stegastes_partitus ENSSPAG00000007772
periophthalmus_magnuspinnatus ENSPMGG00000020992
seriola_dumerili ENSSDUG00000011219
labrus_bergylta ENSLBEG00000014207
poecilia_formosa ENSPFOG00000024260
poecilia_reticulata ENSPREG00000006877
poecilia_mexicana ENSPMEG00000000699
poecilia_mexicana ENSPMEG00000010715
poecilia_latipinna ENSPLAG00000007077
poecilia_mexicana ENSPMEG00000017163
xiphophorus_maculatus ENSXMAG00000027576
poecilia_formosa ENSPFOG00000024530
poecilia_mexicana ENSPMEG00000010434
poecilia_reticulata ENSPREG00000015853
poecilia_latipinna ENSPLAG00000007104
xiphophorus_maculatus ENSXMAG00000025756
fundulus_heteroclitus ENSFHEG00000008155
cyprinodon_variegatus ENSCVAG00000015612
oryzias_latipes ENSORLG00020017952
oryzias_latipes ENSORLG00000030176
amphiprion_percula ENSAPEG00000004160
amphiprion_ocellaris ENSAOCG00000009559
maylandia_zebra ENSMZEG00005007780
maylandia_zebra ENSMZEG00005007717
neolamprologus_brichardi ENSNBRG00000011191
maylandia_zebra ENSMZEG00005007659
astatotilapia_calliptera ENSACLG00000001483
maylandia_zebra ENSMZEG00005007642
amphilophus_citrinellus ENSACIG00000004100
periophthalmus_magnuspinnatus ENSPMGG00000020995
paramormyrops_kingsleyae ENSPKIG00000006940
