coturnix_japonica ENSCJPG00005006671
numida_meleagris ENSNMEG00000002797
calidris_pygmaea ENSCPGG00000011811
cyanistes_caeruleus ENSCCEG00000023049
parus_major ENSPMJG00000003835
ficedula_albicollis ENSFALG00000001458
taeniopygia_guttata ENSTGUG00000016675
lonchura_striata ENSLSDG00000011282
lepidothrix_coronata ENSLCOG00000009894
sarcophilus_harrisii ENSSHAG00000007705
clupea_harengus ENSCHAG00000021727
denticeps_clupeoides ENSDCDG00000033069
astyanax_mexicanus ENSAMXG00000006276
astyanax_mexicanus ENSAMXG00005004541
pygocentrus_nattereri ENSPNAG00000001895
ictalurus_punctatus ENSIPUG00000007227
electrophorus_electricus ENSEEEG00000007745
danio_rerio ENSDARG00000038900
hippocampus_comes ENSHCOG00000009135
periophthalmus_magnuspinnatus ENSPMGG00000005366
xiphophorus_maculatus ENSXMAG00000014941
xiphophorus_couchianus ENSXCOG00000019394
gambusia_affinis ENSGAFG00000020981
poecilia_latipinna ENSPLAG00000003792
poecilia_mexicana ENSPMEG00000017502
poecilia_formosa ENSPFOG00000001751
poecilia_reticulata ENSPREG00000018349
kryptolebias_marmoratus ENSKMAG00000018507
oryzias_latipes ENSORLG00020006284
oryzias_melastigma ENSOMEG00000022464
cyprinodon_variegatus ENSCVAG00000017924
fundulus_heteroclitus ENSFHEG00000007477
oryzias_latipes ENSORLG00000030241
cyprinodon_variegatus ENSCVAG00000017906
acanthochromis_polyacanthus ENSAPOG00000023112
amphiprion_ocellaris ENSAOCG00000016464
neolamprologus_brichardi ENSNBRG00000015514
gouania_willdenowi ENSGWIG00000025367
astatotilapia_calliptera ENSACLG00000006282
maylandia_zebra ENSMZEG00005024275
pundamilia_nyererei ENSPNYG00000004050
haplochromis_burtoni ENSHBUG00000010315
oreochromis_niloticus ENSONIG00000018357
amphilophus_citrinellus ENSACIG00000016769
parambassis_ranga ENSPRNG00000026406
seriola_dumerili ENSSDUG00000006946
seriola_lalandi ENSSLDG00000007081
scophthalmus_maximus ENSSMAG00000011446
lates_calcarifer ENSLCAG00010000247
mastacembelus_armatus ENSMAMG00000007789
monopterus_albus ENSMALG00000014856
anabas_testudineus ENSATEG00000018222
tetraodon_nigroviridis ENSTNIG00000006383
takifugu_rubripes ENSTRUG00000007137
gasterosteus_aculeatus ENSGACG00000016497
cottoperca_gobio ENSCGOG00000001759
mola_mola ENSMMOG00000019486
larimichthys_crocea ENSLCRG00005022785
labrus_bergylta ENSLBEG00000000648
cynoglossus_semilaevis ENSCSEG00000021403
betta_splendens ENSBSLG00000023474
gadus_morhua ENSGMOG00000002386
esox_lucius ENSELUG00000011458
scleropages_formosus ENSSFOG00015021946
lepisosteus_oculatus ENSLOCG00000003500
anolis_carolinensis ENSACAG00000011142
pogona_vitticeps ENSPVIG00000002992
notechis_scutatus ENSNSUG00000007609
salvator_merianae ENSSMRG00000020171
sphenodon_punctatus ENSSPUG00000007941
gopherus_agassizii ENSGAGG00000015272
chelonoidis_abingdonii ENSCABG00000000562
chrysemys_picta ENSCPBG00000017035
pelodiscus_sinensis ENSPSIG00000009459
apteryx_haastii ENSAHAG00000018706
apteryx_owenii ENSAOWG00000013925
apteryx_rowi ENSARWG00000011305
dromaius_novaehollandiae ENSDNVG00000012573
nothoprocta_perdicaria ENSNPEG00000002736
lonchura_striata ENSLSDG00000016565
taeniopygia_guttata ENSTGUG00000010443
serinus_canaria ENSSCAG00000008532
zonotrichia_albicollis ENSZALG00000011502
junco_hyemalis ENSJHYG00000012760
cyanistes_caeruleus ENSCCEG00000005344
parus_major ENSPMJG00000013382
ficedula_albicollis ENSFALG00000009177
lepidothrix_coronata ENSLCOG00000003799
manacus_vitellinus ENSMVIG00005005617
melopsittacus_undulatus ENSMUNG00000012306
anser_brachyrhynchus ENSABRG00000002051
anas_platyrhynchos ENSAPLG00000010729
castor_canadensis ENSCCNG00000031679
dipodomys_ordii ENSDORG00000023231
spermophilus_dauricus ENSSDAG00000004740
marmota_marmota ENSMMMG00000000664
urocitellus_parryii ENSUPAG00010014892
heterocephalus_glaber ENSHGLG00100002220
heterocephalus_glaber ENSHGLG00000007755
heterocephalus_glaber ENSHGLG00000003555
heterocephalus_glaber ENSHGLG00100003724
heterocephalus_glaber ENSHGLG00100007682
heterocephalus_glaber ENSHGLG00000015192
fukomys_damarensis ENSFDAG00000005509
chinchilla_lanigera ENSCLAG00000010619
octodon_degus ENSODEG00000000701
cavia_porcellus ENSCPOG00000011134
cavia_aperea ENSCAPG00000008834
oryctolagus_cuniculus ENSOCUG00000013662
prolemur_simus ENSPSMG00000016274
propithecus_coquereli ENSPCOG00000023154
microcebus_murinus ENSMICG00000017809
otolemur_garnettii ENSOGAG00000007657
pan_paniscus ENSPPAG00000036005
pan_troglodytes ENSPTRG00000000871
homo_sapiens ENSG00000117054
gorilla_gorilla ENSGGOG00000024342
pongo_abelii ENSPPYG00000001231
nomascus_leucogenys ENSNLEG00000009583
papio_anubis ENSPANG00000005881
theropithecus_gelada ENSTGEG00000016791
cercocebus_atys ENSCATG00000038563
mandrillus_leucophaeus ENSMLEG00000041193
macaca_mulatta ENSMMUG00000007220
macaca_fascicularis ENSMFAG00000032655
macaca_nemestrina ENSMNEG00000041060
chlorocebus_sabaeus ENSCSAG00000001390
rhinopithecus_bieti ENSRBIG00000030055
rhinopithecus_roxellana ENSRROG00000032647
colobus_angolensis ENSCANG00000032371
piliocolobus_tephrosceles ENSPTEG00000035170
cebus_capucinus ENSCCAG00000036285
callithrix_jacchus ENSCJAG00000006692
saimiri_boliviensis ENSSBOG00000032362
aotus_nancymaae ENSANAG00000035420
tursiops_truncatus ENSTTRG00000014122
sus_scrofa ENSSSCG00000003776
capra_hircus ENSCHIG00000013780
capra_hircus ENSCHIG00000012888
bos_indicus ENSBIXG00005025973
bos_indicus ENSBIXG00000005850
bos_taurus ENSBTAG00000024240
bos_mutus ENSBMUG00000016017
vicugna_pacos ENSVPAG00000001412
equus_caballus ENSECAG00000021085
equus_asinus ENSEASG00005017206
myotis_lucifugus ENSMLUG00000003015
pteropus_vampyrus ENSPVAG00000013791
ursus_americanus ENSUAMG00000012558
ursus_maritimus ENSUMAG00000006369
ailuropoda_melanoleuca ENSAMEG00000003560
neovison_vison ENSNVIG00000010380
mustela_putorius ENSMPUG00000010897
canis_lupus ENSCAFG00020017070
canis_lupus ENSCAFG00000020393
vulpes_vulpes ENSVVUG00000029897
panthera_pardus ENSPPRG00000011005
panthera_tigris ENSPTIG00000011849
felis_catus ENSFCAG00000026468
erinaceus_europaeus ENSEEUG00000010598
sorex_araneus ENSSARG00000014561
dasypus_novemcinctus ENSDNOG00000007623
choloepus_hoffmanni ENSCHOG00000001322
loxodonta_africana ENSLAFG00000003112
echinops_telfairi ENSETEG00000010861
carlito_syrichta ENSTSYG00000007164
mus_spretus MGP_SPRETEiJ_G0026705
mus_spicilegus ENSMSIG00000007361
mus_musculus ENSMUSG00000062908
mus_caroli MGP_CAROLIEiJ_G0025752
mus_pahari MGP_PahariEiJ_G0027203
rattus_norvegicus ENSRNOG00000009845
meriones_unguiculatus ENSMUGG00000019726
cricetulus_griseus ENSCGRG00001014947
cricetulus_griseus ENSCGRG00000006925
cricetulus_griseus ENSCGRG00015020610
mesocricetus_auratus ENSMAUG00000000918
microtus_ochrogaster ENSMOCG00000016809
peromyscus_maniculatus ENSPEMG00000009616
nannospalax_galili ENSNGAG00000022016
jaculus_jaculus ENSJJAG00000015548
vombatus_ursinus ENSVURG00010011941
phascolarctos_cinereus ENSPCIG00000010712
phascolarctos_cinereus ENSPCIG00000033713
vombatus_ursinus ENSVURG00010012856
notamacropus_eugenii ENSMEUG00000013725
monodelphis_domestica ENSMODG00000019089
ornithorhynchus_anatinus ENSOANG00000008205
latimeria_chalumnae ENSLACG00000008589
xenopus_tropicalis ENSXETG00000014120
erpetoichthys_calabaricus ENSECRG00000007019
callorhinchus_milii ENSCMIG00000009665
hucho_hucho ENSHHUG00000018446
pygocentrus_nattereri ENSPNAG00000006950
meleagris_gallopavo ENSMGAG00000016219
gallus_gallus ENSGALG00000051260
crocodylus_porosus ENSCPRG00005008808
petromyzon_marinus ENSPMAG00000006771
eptatretus_burgeri ENSEBUG00000015066
