cricetulus_griseus_crigri ENSCGRG00000015645
cricetulus_griseus_chok1gshd ENSCGRG00001004158
cricetulus_griseus_crigri-picr ENSCGRG00015013016
mesocricetus_auratus ENSMAUG00000020215
microtus_ochrogaster ENSMOCG00000016274
peromyscus_maniculatus_bairdii ENSPEMG00000021675
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029665
mus_musculus ENSMUSG00000049694
mus_spicilegus ENSMSIG00000007882
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028641
mus_pahari MGP_PahariEiJ_G0022386
rattus_norvegicus ENSRNOG00000025934
meriones_unguiculatus ENSMUGG00000019183
spermophilus_dauricus ENSSDAG00000018011
marmota_marmota_marmota ENSMMMG00000011845
urocitellus_parryii ENSUPAG00010008236
ochotona_princeps ENSOPRG00000005375
pan_troglodytes ENSPTRG00000015337
pan_paniscus ENSPPAG00000041480
gorilla_gorilla ENSGGOG00000014017
homo_sapiens ENSG00000180697
pongo_abelii ENSPPYG00000013450
nomascus_leucogenys ENSNLEG00000001083
rhinopithecus_bieti ENSRBIG00000033407
rhinopithecus_roxellana ENSRROG00000031047
colobus_angolensis_palliatus ENSCANG00000033130
piliocolobus_tephrosceles ENSPTEG00000011030
macaca_fascicularis ENSMFAG00000032848
macaca_mulatta ENSMMUG00000004203
macaca_nemestrina ENSMNEG00000041586
theropithecus_gelada ENSTGEG00000009842
papio_anubis ENSPANG00000025524
mandrillus_leucophaeus ENSMLEG00000042848
cercocebus_atys ENSCATG00000044733
chlorocebus_sabaeus ENSCSAG00000008113
saimiri_boliviensis_boliviensis ENSSBOG00000020324
cebus_capucinus ENSCCAG00000032902
callithrix_jacchus ENSCJAG00000011278
aotus_nancymaae ENSANAG00000036080
carlito_syrichta ENSTSYG00000030646
prolemur_simus ENSPSMG00000006111
microcebus_murinus ENSMICG00000044831
neovison_vison ENSNVIG00000016484
mustela_putorius_furo ENSMPUG00000017372
ursus_americanus ENSUAMG00000025318
ursus_maritimus ENSUMAG00000014003
ailuropoda_melanoleuca ENSAMEG00000006477
canis_lupus_familiaris ENSCAFG00000031690
canis_lupus_dingo ENSCAFG00020001002
vulpes_vulpes ENSVVUG00000021504
panthera_pardus ENSPPRG00000001767
panthera_tigris_altaica ENSPTIG00000014195
felis_catus ENSFCAG00000028000
pteropus_vampyrus ENSPVAG00000017481
bos_taurus ENSBTAG00000039194
bos_mutus ENSBMUG00000016723
capra_hircus ENSCHIG00000024553
tursiops_truncatus ENSTTRG00000005242
sus_scrofa ENSSSCG00000011626
dasypus_novemcinctus ENSDNOG00000016204
