vombatus_ursinus ENSVURG00010012416
phascolarctos_cinereus ENSPCIG00000035045
sarcophilus_harrisii ENSSHAG00000010043
marmota_marmota ENSMMMG00000021790
urocitellus_parryii ENSUPAG00010005634
spermophilus_dauricus ENSSDAG00000008885
oryctolagus_cuniculus ENSOCUG00000022027
prolemur_simus ENSPSMG00000025630
prolemur_simus ENSPSMG00000001546
microcebus_murinus ENSMICG00000042674
otolemur_garnettii ENSOGAG00000026825
capra_hircus ENSCHIG00000007957
ovis_aries ENSOARG00000005867
bos_indicus ENSBIXG00005027225
sus_scrofa ENSSSCG00000012392
equus_asinus ENSEASG00005022308
equus_caballus ENSECAG00000002323
ursus_americanus ENSUAMG00000018664
ursus_maritimus ENSUMAG00000021490
ailuropoda_melanoleuca ENSAMEG00000019575
canis_lupus ENSCAFG00020020337
canis_lupus ENSCAFG00000017087
vulpes_vulpes ENSVVUG00000003285
mustela_putorius ENSMPUG00000005070
panthera_tigris ENSPTIG00000006525
felis_catus ENSFCAG00000021936
ornithorhynchus_anatinus ENSOANG00000000801
pogona_vitticeps ENSPVIG00000019601
anolis_carolinensis ENSACAG00000014965
salvator_merianae ENSSMRG00000003788
sphenodon_punctatus ENSSPUG00000003186
gallus_gallus ENSGALG00000005475
coturnix_japonica ENSCJPG00005012033
meleagris_gallopavo ENSMGAG00000015720
numida_meleagris ENSNMEG00000012322
anser_brachyrhynchus ENSABRG00000020293
anas_platyrhynchos ENSAPLG00000001261
calidris_pygmaea ENSCPGG00000009123
melopsittacus_undulatus ENSMUNG00000012291
lonchura_striata ENSLSDG00000007349
taeniopygia_guttata ENSTGUG00000007027
junco_hyemalis ENSJHYG00000008908
zonotrichia_albicollis ENSZALG00000002098
serinus_canaria ENSSCAG00000016916
parus_major ENSPMJG00000011477
cyanistes_caeruleus ENSCCEG00000021143
ficedula_albicollis ENSFALG00000015169
manacus_vitellinus ENSMVIG00005003205
apteryx_owenii ENSAOWG00000016256
apteryx_rowi ENSARWG00000013764
nothoprocta_perdicaria ENSNPEG00000001708
dromaius_novaehollandiae ENSDNVG00000017929
crocodylus_porosus ENSCPRG00005001422
chelonoidis_abingdonii ENSCABG00000006575
gopherus_agassizii ENSGAGG00000025392
chrysemys_picta ENSCPBG00000016648
pelodiscus_sinensis ENSPSIG00000000185
clupea_harengus ENSCHAG00000015719
danio_rerio ENSDARG00000030608
stegastes_partitus ENSSPAG00000010069
oryzias_melastigma ENSOMEG00000008047
labrus_bergylta ENSLBEG00000026002
scophthalmus_maximus ENSSMAG00000006225
xiphophorus_maculatus ENSXMAG00000009465
xiphophorus_couchianus ENSXCOG00000008680
poecilia_reticulata ENSPREG00000007175
poecilia_latipinna ENSPLAG00000012178
gambusia_affinis ENSGAFG00000003159
cyprinodon_variegatus ENSCVAG00000021592
amphilophus_citrinellus ENSACIG00000007241
seriola_lalandi ENSSLDG00000009003
seriola_dumerili ENSSDUG00000007281
mola_mola ENSMMOG00000004470
esox_lucius ENSELUG00000007547
astyanax_mexicanus ENSAMXG00000032903
oryzias_latipes ENSORLG00020009665
oryzias_latipes ENSORLG00015003969
oryzias_latipes ENSORLG00000006261
fundulus_heteroclitus ENSFHEG00000009684
neolamprologus_brichardi ENSNBRG00000013584
haplochromis_burtoni ENSHBUG00000001668
acanthochromis_polyacanthus ENSAPOG00000007671
hippocampus_comes ENSHCOG00000002982
paramormyrops_kingsleyae ENSPKIG00000014694
electrophorus_electricus ENSEEEG00000022561
ictalurus_punctatus ENSIPUG00000014903
astyanax_mexicanus ENSAMXG00005021810
hucho_hucho ENSHHUG00000044620
hucho_hucho ENSHHUG00000013930
esox_lucius ENSELUG00000004614
scleropages_formosus ENSSFOG00015004486
amphiprion_ocellaris ENSAOCG00000022651
amphiprion_percula ENSAPEG00000014498
kryptolebias_marmoratus ENSKMAG00000007191
gouania_willdenowi ENSGWIG00000012654
mola_mola ENSMMOG00000021844
periophthalmus_magnuspinnatus ENSPMGG00000011875
gadus_morhua ENSGMOG00000006166
pygocentrus_nattereri ENSPNAG00000012410
cottoperca_gobio ENSCGOG00000013395
gasterosteus_aculeatus ENSGACG00000018271
larimichthys_crocea ENSLCRG00005011659
astatotilapia_calliptera ENSACLG00000004974
maylandia_zebra ENSMZEG00005010589
pundamilia_nyererei ENSPNYG00000000239
oreochromis_niloticus ENSONIG00000020582
parambassis_ranga ENSPRNG00000018070
poecilia_mexicana ENSPMEG00000024378
poecilia_formosa ENSPFOG00000012588
poecilia_latipinna ENSPLAG00000012196
poecilia_reticulata ENSPREG00000007310
gambusia_affinis ENSGAFG00000003130
xiphophorus_couchianus ENSXCOG00000008675
xiphophorus_maculatus ENSXMAG00000009464
cyprinodon_variegatus ENSCVAG00000021451
fundulus_heteroclitus ENSFHEG00000009704
kryptolebias_marmoratus ENSKMAG00000007158
poecilia_formosa ENSPFOG00000020056
gouania_willdenowi ENSGWIG00000005318
takifugu_rubripes ENSTRUG00000009931
tetraodon_nigroviridis ENSTNIG00000000346
betta_splendens ENSBSLG00000016639
anabas_testudineus ENSATEG00000004769
mastacembelus_armatus ENSMAMG00000009546
lates_calcarifer ENSLCAG00010014958
denticeps_clupeoides ENSDCDG00000008865
scleropages_formosus ENSSFOG00015010713
clupea_harengus ENSCHAG00000013005
denticeps_clupeoides ENSDCDG00000034740
astyanax_mexicanus ENSAMXG00005019469
astyanax_mexicanus ENSAMXG00000036821
pygocentrus_nattereri ENSPNAG00000009725
electrophorus_electricus ENSEEEG00000005987
danio_rerio ENSDARG00000028401
hucho_hucho ENSHHUG00000034559
hucho_hucho ENSHHUG00000028006
poecilia_mexicana ENSPMEG00000024380
paramormyrops_kingsleyae ENSPKIG00000014274
lepisosteus_oculatus ENSLOCG00000017483
xenopus_tropicalis ENSXETG00000016777
erpetoichthys_calabaricus ENSECRG00000012566
cynoglossus_semilaevis ENSCSEG00000014213
latimeria_chalumnae ENSLACG00000011841
callorhinchus_milii ENSCMIG00000009235
