mustela_putorius_furo ENSMPUG00000017403
neovison_vison ENSNVIG00000023379
ailuropoda_melanoleuca ENSAMEG00000010247
canis_lupus_familiaris ENSCAFG00000002763
vulpes_vulpes ENSVVUG00000010946
ovis_aries ENSOARG00000000268
equus_asinus_asinus ENSEASG00005021786
erinaceus_europaeus ENSEEUG00000011046
sorex_araneus ENSSARG00000009786
oryctolagus_cuniculus ENSOCUG00000023932
oryctolagus_cuniculus ENSOCUG00000004972
oryctolagus_cuniculus ENSOCUG00000024441
oryctolagus_cuniculus ENSOCUG00000021597
oryctolagus_cuniculus ENSOCUG00000025393
oryctolagus_cuniculus ENSOCUG00000022996
oryctolagus_cuniculus ENSOCUG00000027383
oryctolagus_cuniculus ENSOCUG00000023522
ochotona_princeps ENSOPRG00000001812
ochotona_princeps ENSOPRG00000007089
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027379
mus_spicilegus ENSMSIG00000010706
mus_musculus ENSMUSG00000087385
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026402
mus_pahari MGP_PahariEiJ_G0028731
rattus_norvegicus ENSRNOG00000034011
cricetulus_griseus_crigri-picr ENSCGRG00015004095
cricetulus_griseus_crigri-picr ENSCGRG00015004867
piliocolobus_tephrosceles ENSPTEG00000020870
rhinopithecus_roxellana ENSRROG00000043940
macaca_fascicularis ENSMFAG00000024482
macaca_mulatta ENSMMUG00000048303
mandrillus_leucophaeus ENSMLEG00000015331
cercocebus_atys ENSCATG00000040351
mandrillus_leucophaeus ENSMLEG00000029254
theropithecus_gelada ENSTGEG00000029341
theropithecus_gelada ENSTGEG00000029332
papio_anubis ENSPANG00000021785
cercocebus_atys ENSCATG00000030518
papio_anubis ENSPANG00000032285
mandrillus_leucophaeus ENSMLEG00000034620
macaca_mulatta ENSMMUG00000048378
macaca_fascicularis ENSMFAG00000026189
macaca_nemestrina ENSMNEG00000030855
chlorocebus_sabaeus ENSCSAG00000018302
pan_paniscus ENSPPAG00000034046
pan_troglodytes ENSPTRG00000044885
homo_sapiens ENSG00000172969
gorilla_gorilla ENSGGOG00000026678
homo_sapiens ENSG00000225899
homo_sapiens ENSG00000205097
pan_troglodytes ENSPTRG00000029643
pongo_abelii ENSPPYG00000014461
pongo_abelii ENSPPYG00000015276
pongo_abelii ENSPPYG00000015274
pongo_abelii ENSPPYG00000002797
nomascus_leucogenys ENSNLEG00000030510
nomascus_leucogenys ENSNLEG00000008296
nomascus_leucogenys ENSNLEG00000030701
nomascus_leucogenys ENSNLEG00000002391
nomascus_leucogenys ENSNLEG00000030290
aotus_nancymaae ENSANAG00000010845
cebus_capucinus ENSCCAG00000028228
carlito_syrichta ENSTSYG00000034198
microcebus_murinus ENSMICG00000027330
prolemur_simus ENSPSMG00000007887
dasypus_novemcinctus ENSDNOG00000037226
procavia_capensis ENSPCAG00000009839
