poecilia_mexicana ENSPMEG00000011461
poecilia_formosa ENSPFOG00000006232
poecilia_latipinna ENSPLAG00000000576
poecilia_reticulata ENSPREG00000010815
xiphophorus_couchianus ENSXCOG00000011060
xiphophorus_maculatus ENSXMAG00000023188
gambusia_affinis ENSGAFG00000000058
cyprinodon_variegatus ENSCVAG00000019595
kryptolebias_marmoratus ENSKMAG00000001256
oryzias_latipes ENSORLG00020008107
oryzias_latipes ENSORLG00015010864
oryzias_latipes ENSORLG00000018486
oryzias_melastigma ENSOMEG00000007419
oreochromis_niloticus ENSONIG00000017639
amphilophus_citrinellus ENSACIG00000023231
cynoglossus_semilaevis ENSCSEG00000009161
takifugu_rubripes ENSTRUG00000011561
tetraodon_nigroviridis ENSTNIG00000010605
mola_mola ENSMMOG00000021101
labrus_bergylta ENSLBEG00000015748
gasterosteus_aculeatus ENSGACG00000015399
seriola_lalandi ENSSLDG00000009763
seriola_dumerili ENSSDUG00000004422
scophthalmus_maximus ENSSMAG00000000005
monopterus_albus ENSMALG00000002001
mastacembelus_armatus ENSMAMG00000003944
amphiprion_percula ENSAPEG00000007983
amphiprion_ocellaris ENSAOCG00000000600
acanthochromis_polyacanthus ENSAPOG00000010864
stegastes_partitus ENSSPAG00000005773
hippocampus_comes ENSHCOG00000002573
periophthalmus_magnuspinnatus ENSPMGG00000005869
gadus_morhua ENSGMOG00000014708
esox_lucius ENSELUG00000000140
pygocentrus_nattereri ENSPNAG00000025213
astyanax_mexicanus ENSAMXG00000012281
ictalurus_punctatus ENSIPUG00000020426
danio_rerio ENSDARG00000036637
scleropages_formosus ENSSFOG00015001190
lepisosteus_oculatus ENSLOCG00000017800
