monodelphis_domestica ENSMODG00000013993
sarcophilus_harrisii ENSSHAG00000007830
notamacropus_eugenii ENSMEUG00000005285
phascolarctos_cinereus ENSPCIG00000024478
erinaceus_europaeus ENSEEUG00000010368
sorex_araneus ENSSARG00000014042
equus_asinus_asinus ENSEASG00005020926
equus_caballus ENSECAG00000009417
pteropus_vampyrus ENSPVAG00000000787
myotis_lucifugus ENSMLUG00000012012
ursus_americanus ENSUAMG00000005038
ursus_maritimus ENSUMAG00000010952
ailuropoda_melanoleuca ENSAMEG00000001109
neovison_vison ENSNVIG00000012514
mustela_putorius_furo ENSMPUG00000003052
canis_lupus_dingo ENSCAFG00020006095
canis_lupus_familiaris ENSCAFG00000001188
vulpes_vulpes ENSVVUG00000026099
panthera_pardus ENSPPRG00000006044
panthera_tigris_altaica ENSPTIG00000003356
felis_catus ENSFCAG00000040779
bos_mutus ENSBMUG00000019221
bos_taurus ENSBTAG00000033603
bison_bison_bison ENSBBBG00000014104
capra_hircus ENSCHIG00000021074
ovis_aries ENSOARG00000010356
tursiops_truncatus ENSTTRG00000006944
vicugna_pacos ENSVPAG00000012491
sus_scrofa ENSSSCG00000039272
loxodonta_africana ENSLAFG00000012157
procavia_capensis ENSPCAG00000001472
choloepus_hoffmanni ENSCHOG00000002040
echinops_telfairi ENSETEG00000019253
gorilla_gorilla ENSGGOG00000016288
homo_sapiens ENSG00000161896
pan_paniscus ENSPPAG00000032091
pan_troglodytes ENSPTRG00000018056
pongo_abelii ENSPPYG00000016509
nomascus_leucogenys ENSNLEG00000008448
macaca_fascicularis ENSMFAG00000036096
macaca_mulatta ENSMMUG00000045656
macaca_nemestrina ENSMNEG00000038698
theropithecus_gelada ENSTGEG00000029487
mandrillus_leucophaeus ENSMLEG00000039478
papio_anubis ENSPANG00000019232
cercocebus_atys ENSCATG00000036617
chlorocebus_sabaeus ENSCSAG00000009672
rhinopithecus_bieti ENSRBIG00000028384
rhinopithecus_roxellana ENSRROG00000039176
colobus_angolensis_palliatus ENSCANG00000025138
piliocolobus_tephrosceles ENSPTEG00000029224
saimiri_boliviensis_boliviensis ENSSBOG00000034249
cebus_capucinus ENSCCAG00000037337
callithrix_jacchus ENSCJAG00000044270
aotus_nancymaae ENSANAG00000036812
carlito_syrichta ENSTSYG00000001526
propithecus_coquereli ENSPCOG00000021675
prolemur_simus ENSPSMG00000008873
microcebus_murinus ENSMICG00000016472
otolemur_garnettii ENSOGAG00000015606
urocitellus_parryii ENSUPAG00010014072
marmota_marmota_marmota ENSMMMG00000024290
spermophilus_dauricus ENSSDAG00000018324
ictidomys_tridecemlineatus ENSSTOG00000021218
chinchilla_lanigera ENSCLAG00000009756
octodon_degus ENSODEG00000016935
cavia_porcellus ENSCPOG00000013261
cavia_aperea ENSCAPG00000017911
heterocephalus_glaber_female ENSHGLG00000017231
heterocephalus_glaber_male ENSHGLG00100003553
castor_canadensis ENSCCNG00000026129
dipodomys_ordii ENSDORG00000001462
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022210
mus_musculus ENSMUSG00000024210
mus_spicilegus ENSMSIG00000005125
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021297
mus_pahari MGP_PahariEiJ_G0023615
rattus_norvegicus ENSRNOG00000025883
meriones_unguiculatus ENSMUGG00000018653
peromyscus_maniculatus_bairdii ENSPEMG00000010729
microtus_ochrogaster ENSMOCG00000017166
cricetulus_griseus_chok1gshd ENSCGRG00001005691
cricetulus_griseus_crigri-picr ENSCGRG00015013631
cricetulus_griseus_crigri ENSCGRG00000006661
mesocricetus_auratus ENSMAUG00000007919
nannospalax_galili ENSNGAG00000012474
jaculus_jaculus ENSJJAG00000022349
oryctolagus_cuniculus ENSOCUG00000029364
ochotona_princeps ENSOPRG00000002186
dasypus_novemcinctus ENSDNOG00000001433
ornithorhynchus_anatinus ENSOANG00000011263
apteryx_haastii ENSAHAG00000018041
apteryx_owenii ENSAOWG00000004835
apteryx_rowi ENSARWG00000000870
dromaius_novaehollandiae ENSDNVG00000014034
nothoprocta_perdicaria ENSNPEG00000004097
anser_brachyrhynchus ENSABRG00000011341
anas_platyrhynchos_platyrhynchos ENSAPLG00000022027
meleagris_gallopavo ENSMGAG00000009872
gallus_gallus ENSGALG00000026536
coturnix_japonica ENSCJPG00005018008
numida_meleagris ENSNMEG00000004016
calidris_pygmaea ENSCPGG00000017999
calidris_pugnax ENSCPUG00000017622
zonotrichia_albicollis ENSZALG00000009843
junco_hyemalis ENSJHYG00000016669
serinus_canaria ENSSCAG00000016016
lonchura_striata_domestica ENSLSDG00000017317
ficedula_albicollis ENSFALG00000003865
parus_major ENSPMJG00000012529
cyanistes_caeruleus ENSCCEG00000012534
manacus_vitellinus ENSMVIG00005018699
lepidothrix_coronata ENSLCOG00000000360
taeniopygia_guttata ENSTGUG00000001797
anas_platyrhynchos_platyrhynchos ENSAPLG00000020071
melopsittacus_undulatus ENSMUNG00000013086
crocodylus_porosus ENSCPRG00005014108
gopherus_agassizii ENSGAGG00000014843
chelonoidis_abingdonii ENSCABG00000009449
chrysemys_picta_bellii ENSCPBG00000025500
pelodiscus_sinensis ENSPSIG00000014194
pogona_vitticeps ENSPVIG00000009986
anolis_carolinensis ENSACAG00000016147
notechis_scutatus ENSNSUG00000011927
salvator_merianae ENSSMRG00000023117
sphenodon_punctatus ENSSPUG00000011063
latimeria_chalumnae ENSLACG00000016436
lepisosteus_oculatus ENSLOCG00000012631
