prolemur_simus ENSPSMG00000008931
microcebus_murinus ENSMICG00000017905
propithecus_coquereli ENSPCOG00000017881
otolemur_garnettii ENSOGAG00000005029
carlito_syrichta ENSTSYG00000000658
castor_canadensis ENSCCNG00000008557
dipodomys_ordii ENSDORG00000011859
mus_spicilegus ENSMSIG00000003194
mus_musculus ENSMUSG00000027442
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025333
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024415
mus_pahari MGP_PahariEiJ_G0025858
rattus_norvegicus ENSRNOG00000004989
meriones_unguiculatus ENSMUGG00000020387
cricetulus_griseus_crigri-picr ENSCGRG00015005397
cricetulus_griseus_crigri ENSCGRG00000008618
cricetulus_griseus_chok1gshd ENSCGRG00001020750
mesocricetus_auratus ENSMAUG00000010114
peromyscus_maniculatus_bairdii ENSPEMG00000030932
microtus_ochrogaster ENSMOCG00000020831
jaculus_jaculus ENSJJAG00000013212
cavia_porcellus ENSCPOG00000005550
cavia_aperea ENSCAPG00000005691
chinchilla_lanigera ENSCLAG00000015212
heterocephalus_glaber_male ENSHGLG00100014612
heterocephalus_glaber_female ENSHGLG00000011126
fukomys_damarensis ENSFDAG00000012638
octodon_degus ENSODEG00000010448
ictidomys_tridecemlineatus ENSSTOG00000004122
marmota_marmota_marmota ENSMMMG00000004504
spermophilus_dauricus ENSSDAG00000016654
urocitellus_parryii ENSUPAG00010009884
pan_troglodytes ENSPTRG00000013324
pan_paniscus ENSPPAG00000037606
homo_sapiens ENSG00000125815
gorilla_gorilla ENSGGOG00000006139
pongo_abelii ENSPPYG00000010770
nomascus_leucogenys ENSNLEG00000011607
rhinopithecus_roxellana ENSRROG00000030761
rhinopithecus_bieti ENSRBIG00000044719
piliocolobus_tephrosceles ENSPTEG00000002717
colobus_angolensis_palliatus ENSCANG00000040594
macaca_fascicularis ENSMFAG00000033001
macaca_nemestrina ENSMNEG00000037697
macaca_mulatta ENSMMUG00000016489
papio_anubis ENSPANG00000000659
cercocebus_atys ENSCATG00000033479
mandrillus_leucophaeus ENSMLEG00000033857
theropithecus_gelada ENSTGEG00000020227
cebus_capucinus ENSCCAG00000024862
saimiri_boliviensis_boliviensis ENSSBOG00000021877
callithrix_jacchus ENSCJAG00000000697
aotus_nancymaae ENSANAG00000030427
oryctolagus_cuniculus ENSOCUG00000024979
pteropus_vampyrus ENSPVAG00000006275
myotis_lucifugus ENSMLUG00000002227
erinaceus_europaeus ENSEEUG00000001390
sorex_araneus ENSSARG00000013743
equus_caballus ENSECAG00000029932
equus_asinus_asinus ENSEASG00005002586
ursus_maritimus ENSUMAG00000004155
ursus_americanus ENSUAMG00000011051
ailuropoda_melanoleuca ENSAMEG00000009906
neovison_vison ENSNVIG00000001466
mustela_putorius_furo ENSMPUG00000001143
canis_lupus_familiaris ENSCAFG00000005117
canis_lupus_dingo ENSCAFG00020027457
vulpes_vulpes ENSVVUG00000012060
panthera_tigris_altaica ENSPTIG00000006377
panthera_pardus ENSPPRG00000015009
felis_catus ENSFCAG00000023255
bos_mutus ENSBMUG00000002869
bison_bison_bison ENSBBBG00000022516
bos_taurus ENSBTAG00000032694
ovis_aries ENSOARG00000005983
capra_hircus ENSCHIG00000025947
tursiops_truncatus ENSTTRG00000004600
sus_scrofa ENSSSCG00000007124
choloepus_hoffmanni ENSCHOG00000007204
choloepus_hoffmanni ENSCHOG00000008527
dasypus_novemcinctus ENSDNOG00000003208
loxodonta_africana ENSLAFG00000002803
echinops_telfairi ENSETEG00000018266
