ictalurus_punctatus ENSIPUG00000004429
pygocentrus_nattereri ENSPNAG00000014189
danio_rerio ENSDARG00000057681
esox_lucius ENSELUG00000004533
mastacembelus_armatus ENSMAMG00000013558
monopterus_albus ENSMALG00000021993
anabas_testudineus ENSATEG00000010283
seriola_dumerili ENSSDUG00000017979
seriola_lalandi_dorsalis ENSSLDG00000023912
scophthalmus_maximus ENSSMAG00000011745
gasterosteus_aculeatus ENSGACG00000012698
labrus_bergylta ENSLBEG00000021301
mola_mola ENSMMOG00000004715
takifugu_rubripes ENSTRUG00000011529
amphiprion_ocellaris ENSAOCG00000015717
amphiprion_percula ENSAPEG00000001400
acanthochromis_polyacanthus ENSAPOG00000009252
stegastes_partitus ENSSPAG00000000422
maylandia_zebra ENSMZEG00005008362
astatotilapia_calliptera ENSACLG00000025189
pundamilia_nyererei ENSPNYG00000022888
haplochromis_burtoni ENSHBUG00000016773
neolamprologus_brichardi ENSNBRG00000010449
oreochromis_niloticus ENSONIG00000019515
amphilophus_citrinellus ENSACIG00000023000
xiphophorus_maculatus ENSXMAG00000009293
xiphophorus_couchianus ENSXCOG00000013292
gambusia_affinis ENSGAFG00000019543
poecilia_latipinna ENSPLAG00000022414
poecilia_mexicana ENSPMEG00000011713
poecilia_formosa ENSPFOG00000013111
poecilia_reticulata ENSPREG00000005546
fundulus_heteroclitus ENSFHEG00000021400
cyprinodon_variegatus ENSCVAG00000023058
kryptolebias_marmoratus ENSKMAG00000008676
oryzias_latipes ENSORLG00020015833
oryzias_latipes_asm223469v1 ENSORLG00015012334
oryzias_latipes ENSORLG00000017743
oryzias_melastigma ENSOMEG00000010753
hippocampus_comes ENSHCOG00000000588
periophthalmus_magnuspinnatus ENSPMGG00000024087
tetraodon_nigroviridis ENSTNIG00000008920
gadus_morhua ENSGMOG00000017522
astyanax_mexicanus ENSAMXG00000030098
scleropages_formosus ENSSFOG00015023393
