bos_taurus ENSBTAG00000023556
bison_bison ENSBBBG00000005765
sus_scrofa ENSSSCG00000006445
mustela_putorius ENSMPUG00000019456
neovison_vison ENSNVIG00000021817
ailuropoda_melanoleuca ENSAMEG00000019757
canis_lupus ENSCAFG00000011530
canis_lupus ENSCAFG00020019318
panthera_pardus ENSPPRG00000017895
panthera_tigris ENSPTIG00000014957
felis_catus ENSFCAG00000008656
equus_caballus ENSECAG00000006655
equus_asinus ENSEASG00005003442
pan_troglodytes ENSPTRG00000001503
pan_paniscus ENSPPAG00000024751
gorilla_gorilla ENSGGOG00000013971
homo_sapiens ENSG00000180708
pongo_abelii ENSPPYG00000000679
nomascus_leucogenys ENSNLEG00000013073
theropithecus_gelada ENSTGEG00000003914
macaca_mulatta ENSMMUG00000003168
chlorocebus_sabaeus ENSCSAG00000000061
piliocolobus_tephrosceles ENSPTEG00000017185
callithrix_jacchus ENSCJAG00000006442
ursus_maritimus ENSUMAG00000004320
monodelphis_domestica ENSMODG00000010618
monodelphis_domestica ENSMODG00000010490
propithecus_coquereli ENSPCOG00000014716
ornithorhynchus_anatinus ENSOANG00000020928
ornithorhynchus_anatinus ENSOANG00000020226
apteryx_owenii ENSAOWG00000004189
apteryx_owenii ENSAOWG00000006827
anser_brachyrhynchus ENSABRG00000005197
