poecilia_reticulata ENSPREG00000012895
amphiprion_percula ENSAPEG00000009474
mastacembelus_armatus ENSMAMG00000012396
pygocentrus_nattereri ENSPNAG00000009824
haplochromis_burtoni ENSHBUG00000011401
maylandia_zebra ENSMZEG00005005158
astatotilapia_calliptera ENSACLG00000002418
mola_mola ENSMMOG00000004829
seriola_lalandi ENSSLDG00000019095
hucho_hucho ENSHHUG00000016065
clupea_harengus ENSCHAG00000021708
erpetoichthys_calabaricus ENSECRG00000014019
erpetoichthys_calabaricus ENSECRG00000019516
erpetoichthys_calabaricus ENSECRG00000002189
