propithecus_coquereli ENSPCOG00000025144
microcebus_murinus ENSMICG00000046148
prolemur_simus ENSPSMG00000005263
otolemur_garnettii ENSOGAG00000012886
pan_paniscus ENSPPAG00000034082
pan_troglodytes ENSPTRG00000004615
homo_sapiens ENSG00000184344
gorilla_gorilla ENSGGOG00000012422
pongo_abelii ENSPPYG00000004229
nomascus_leucogenys ENSNLEG00000005350
colobus_angolensis ENSCANG00000039502
piliocolobus_tephrosceles ENSPTEG00000036219
rhinopithecus_bieti ENSRBIG00000033549
rhinopithecus_roxellana ENSRROG00000031013
theropithecus_gelada ENSTGEG00000006492
papio_anubis ENSPANG00000014869
cercocebus_atys ENSCATG00000030427
macaca_fascicularis ENSMFAG00000038386
macaca_mulatta ENSMMUG00000052679
macaca_nemestrina ENSMNEG00000031722
mandrillus_leucophaeus ENSMLEG00000044338
chlorocebus_sabaeus ENSCSAG00000009810
callithrix_jacchus ENSCJAG00000005406
saimiri_boliviensis ENSSBOG00000018596
cebus_capucinus ENSCCAG00000024344
aotus_nancymaae ENSANAG00000023971
oryctolagus_cuniculus ENSOCUG00000013747
cavia_porcellus ENSCPOG00000015516
cavia_porcellus ENSCPOG00000001939
erinaceus_europaeus ENSEEUG00000011441
tupaia_belangeri ENSTBEG00000014169
pteropus_vampyrus ENSPVAG00000010710
myotis_lucifugus ENSMLUG00000013330
bos_indicus ENSBIXG00000005958
bos_indicus ENSBIXG00005013702
bos_taurus ENSBTAG00000023192
bos_indicus ENSBIXG00000028242
bos_indicus ENSBIXG00005009496
bos_taurus ENSBTAG00000012171
bos_mutus ENSBMUG00000006015
bison_bison ENSBBBG00000015778
capra_hircus ENSCHIG00000011728
ovis_aries ENSOARG00000002084
tursiops_truncatus ENSTTRG00000000750
vicugna_pacos ENSVPAG00000004638
sus_scrofa ENSSSCG00000000669
ursus_maritimus ENSUMAG00000016555
ursus_americanus ENSUAMG00000011633
ailuropoda_melanoleuca ENSAMEG00000007118
mustela_putorius ENSMPUG00000017531
neovison_vison ENSNVIG00000008459
canis_lupus ENSCAFG00000032763
canis_lupus ENSCAFG00020003508
vulpes_vulpes ENSVVUG00000010531
panthera_pardus ENSPPRG00000012035
panthera_tigris ENSPTIG00000020314
felis_catus ENSFCAG00000009940
equus_caballus ENSECAG00000017031
equus_asinus ENSEASG00005015956
dasypus_novemcinctus ENSDNOG00000016607
choloepus_hoffmanni ENSCHOG00000012128
loxodonta_africana ENSLAFG00000005973
procavia_capensis ENSPCAG00000008754
echinops_telfairi ENSETEG00000009256
mus_spretus MGP_SPRETEiJ_G0029858
mus_spicilegus ENSMSIG00000028955
mus_musculus ENSMUSG00000030117
mus_pahari MGP_PahariEiJ_G0022581
rattus_norvegicus ENSRNOG00000015331
meriones_unguiculatus ENSMUGG00000023411
cricetulus_griseus ENSCGRG00001012294
cricetulus_griseus ENSCGRG00000013189
cricetulus_griseus ENSCGRG00015013875
mesocricetus_auratus ENSMAUG00000013151
microtus_ochrogaster ENSMOCG00000022799
peromyscus_maniculatus ENSPEMG00000009491
nannospalax_galili ENSNGAG00000018140
castor_canadensis ENSCCNG00000022257
spermophilus_dauricus ENSSDAG00000002946
urocitellus_parryii ENSUPAG00010022089
marmota_marmota ENSMMMG00000014052
ictidomys_tridecemlineatus ENSSTOG00000001837
vombatus_ursinus ENSVURG00010017714
phascolarctos_cinereus ENSPCIG00000023971
notamacropus_eugenii ENSMEUG00000013410
monodelphis_domestica ENSMODG00000018006
sarcophilus_harrisii ENSSHAG00000009222
