poecilia_reticulata ENSPREG00000021340
xiphophorus_couchianus ENSXCOG00000017311
neolamprologus_brichardi ENSNBRG00000007338
amphiprion_percula ENSAPEG00000021333
amphiprion_ocellaris ENSAOCG00000012542
labrus_bergylta ENSLBEG00000008419
pygocentrus_nattereri ENSPNAG00000029749
panthera_tigris_altaica ENSPTIG00000019163
panthera_pardus ENSPPRG00000015877
canis_lupus_dingo ENSCAFG00020021156
bison_bison_bison ENSBBBG00000016540
bison_bison_bison ENSBBBG00000014004
bos_mutus ENSBMUG00000020763
sphenodon_punctatus ENSSPUG00000002172
notechis_scutatus ENSNSUG00000006639
coturnix_japonica ENSCJPG00005009697
nothoprocta_perdicaria ENSNPEG00000012624
