xiphophorus_couchianus ENSXCOG00000009934
xiphophorus_maculatus ENSXMAG00000029614
poecilia_reticulata ENSPREG00000006393
seriola_lalandi ENSSLDG00000017433
ictalurus_punctatus ENSIPUG00000004472
lepisosteus_oculatus ENSLOCG00000012194
latimeria_chalumnae ENSLACG00000003394
crocodylus_porosus ENSCPRG00005019060
anolis_carolinensis ENSACAG00000016569
neolamprologus_brichardi ENSNBRG00000023620
junco_hyemalis ENSJHYG00000004836
theropithecus_gelada ENSTGEG00000011806
eptatretus_burgeri ENSEBUG00000011301
caenorhabditis_elegans WBGene00013542
