seriola_lalandi_dorsalis ENSSLDG00000013872
seriola_dumerili ENSSDUG00000012033
cynoglossus_semilaevis ENSCSEG00000007796
labrus_bergylta ENSLBEG00000017447
gasterosteus_aculeatus ENSGACG00000011815
mastacembelus_armatus ENSMAMG00000023429
monopterus_albus ENSMALG00000008814
mola_mola ENSMMOG00000010575
anabas_testudineus ENSATEG00000008492
fundulus_heteroclitus ENSFHEG00000017583
cyprinodon_variegatus ENSCVAG00000020024
gambusia_affinis ENSGAFG00000015672
xiphophorus_couchianus ENSXCOG00000002361
kryptolebias_marmoratus ENSKMAG00000004402
oryzias_latipes ENSORLG00000026685
oryzias_latipes ENSORLG00020003738
oryzias_latipes_asm223469v1 ENSORLG00015021092
oryzias_melastigma ENSOMEG00000001233
astatotilapia_calliptera ENSACLG00000023039
maylandia_zebra ENSMZEG00005008722
pundamilia_nyererei ENSPNYG00000003818
haplochromis_burtoni ENSHBUG00000010821
neolamprologus_brichardi ENSNBRG00000023996
amphilophus_citrinellus ENSACIG00000021289
amphiprion_percula ENSAPEG00000021745
amphiprion_ocellaris ENSAOCG00000024726
acanthochromis_polyacanthus ENSAPOG00000014310
stegastes_partitus ENSSPAG00000021249
scophthalmus_maximus ENSSMAG00000016123
periophthalmus_magnuspinnatus ENSPMGG00000008848
hippocampus_comes ENSHCOG00000010773
tetraodon_nigroviridis ENSTNIG00000007356
takifugu_rubripes ENSTRUG00000024827
gadus_morhua ENSGMOG00000007383
esox_lucius ENSELUG00000003525
pygocentrus_nattereri ENSPNAG00000026944
astyanax_mexicanus ENSAMXG00000003435
ictalurus_punctatus ENSIPUG00000001210
danio_rerio ENSDARG00000091616
scleropages_formosus ENSSFOG00015016263
paramormyrops_kingsleyae ENSPKIG00000021574
lepisosteus_oculatus ENSLOCG00000009991
latimeria_chalumnae ENSLACG00000022391
