astatotilapia_calliptera ENSACLG00000018780
maylandia_zebra ENSMZEG00005024384
haplochromis_burtoni ENSHBUG00000002648
amphilophus_citrinellus ENSACIG00000007297
labrus_bergylta ENSLBEG00000016713
anabas_testudineus ENSATEG00000006889
scophthalmus_maximus ENSSMAG00000020511
cynoglossus_semilaevis ENSCSEG00000005805
periophthalmus_magnuspinnatus ENSPMGG00000004249
amphiprion_ocellaris ENSAOCG00000016744
amphiprion_percula ENSAPEG00000015884
acanthochromis_polyacanthus ENSAPOG00000014244
stegastes_partitus ENSSPAG00000016400
mastacembelus_armatus ENSMAMG00000016082
takifugu_rubripes ENSTRUG00000016096
poecilia_formosa ENSPFOG00000020086
poecilia_reticulata ENSPREG00000018750
poecilia_mexicana ENSPMEG00000019459
poecilia_latipinna ENSPLAG00000003648
xiphophorus_couchianus ENSXCOG00000010637
xiphophorus_maculatus ENSXMAG00000019840
gambusia_affinis ENSGAFG00000004066
fundulus_heteroclitus ENSFHEG00000020885
oryzias_latipes ENSORLG00020019300
oryzias_latipes_asm223469v1 ENSORLG00015007984
oryzias_latipes ENSORLG00000001408
oryzias_melastigma ENSOMEG00000022738
gasterosteus_aculeatus ENSGACG00000012714
monopterus_albus ENSMALG00000010209
hippocampus_comes ENSHCOG00000018590
cyprinodon_variegatus ENSCVAG00000001052
kryptolebias_marmoratus ENSKMAG00000018572
seriola_lalandi_dorsalis ENSSLDG00000003691
pundamilia_nyererei ENSPNYG00000022416
neolamprologus_brichardi ENSNBRG00000017036
mola_mola ENSMMOG00000005059
seriola_dumerili ENSSDUG00000001518
gadus_morhua ENSGMOG00000000672
esox_lucius ENSELUG00000008367
astyanax_mexicanus ENSAMXG00000025933
pygocentrus_nattereri ENSPNAG00000008596
ictalurus_punctatus ENSIPUG00000006561
scleropages_formosus ENSSFOG00015001118
paramormyrops_kingsleyae ENSPKIG00000006512
