danio_rerio ENSDARG00000053101
ictalurus_punctatus ENSIPUG00000014942
seriola_dumerili ENSSDUG00000016590
scophthalmus_maximus ENSSMAG00000001776
mastacembelus_armatus ENSMAMG00000010641
haplochromis_burtoni ENSHBUG00000022496
pundamilia_nyererei ENSPNYG00000007625
maylandia_zebra ENSMZEG00005025536
astatotilapia_calliptera ENSACLG00000001712
neolamprologus_brichardi ENSNBRG00000019212
amphilophus_citrinellus ENSACIG00000016479
cyprinodon_variegatus ENSCVAG00000005557
fundulus_heteroclitus ENSFHEG00000002861
amphiprion_percula ENSAPEG00000010974
amphiprion_ocellaris ENSAOCG00000012675
acanthochromis_polyacanthus ENSAPOG00000012791
acanthochromis_polyacanthus ENSAPOG00000005297
stegastes_partitus ENSSPAG00000023160
labrus_bergylta ENSLBEG00000024500
gasterosteus_aculeatus ENSGACG00000015154
