erinaceus_europaeus ENSEEUG00000012055
sorex_araneus ENSSARG00000010136
tupaia_belangeri ENSTBEG00000014111
carlito_syrichta ENSTSYG00000002783
loxodonta_africana ENSLAFG00000011224
procavia_capensis ENSPCAG00000013015
echinops_telfairi ENSETEG00000001010
choloepus_hoffmanni ENSCHOG00000002994
dasypus_novemcinctus ENSDNOG00000043251
prolemur_simus ENSPSMG00000008989
microcebus_murinus ENSMICG00000044781
propithecus_coquereli ENSPCOG00000022425
otolemur_garnettii ENSOGAG00000014790
homo_sapiens ENSG00000087995
pan_troglodytes ENSPTRG00000009504
pan_troglodytes ENSPTRG00000019664
pan_troglodytes ENSPTRG00000046946
homo_sapiens ENSG00000165055
gorilla_gorilla ENSGGOG00000038731
pongo_abelii ENSPPYG00000008952
nomascus_leucogenys ENSNLEG00000007529
piliocolobus_tephrosceles ENSPTEG00000025629
colobus_angolensis_palliatus ENSCANG00000027777
rhinopithecus_bieti ENSRBIG00000033312
rhinopithecus_roxellana ENSRROG00000033706
macaca_mulatta ENSMMUG00000009802
macaca_fascicularis ENSMFAG00000007048
papio_anubis ENSPANG00000021128
theropithecus_gelada ENSTGEG00000020654
cercocebus_atys ENSCATG00000007364
mandrillus_leucophaeus ENSMLEG00000037621
chlorocebus_sabaeus ENSCSAG00000003846
callithrix_jacchus ENSCJAG00000033545
saimiri_boliviensis_boliviensis ENSSBOG00000028514
cebus_capucinus ENSCCAG00000031813
aotus_nancymaae ENSANAG00000021039
macaca_nemestrina ENSMNEG00000028100
castor_canadensis ENSCCNG00000016271
dipodomys_ordii ENSDORG00000028245
mus_musculus ENSMUSG00000020691
mus_spicilegus ENSMSIG00000026652
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018141
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017298
rattus_norvegicus ENSRNOG00000006131
meriones_unguiculatus ENSMUGG00000018932
peromyscus_maniculatus_bairdii ENSPEMG00000011277
microtus_ochrogaster ENSMOCG00000017424
cricetulus_griseus_chok1gshd ENSCGRG00001023089
cricetulus_griseus_crigri-picr ENSCGRG00015023720
cricetulus_griseus_crigri ENSCGRG00000003381
mesocricetus_auratus ENSMAUG00000008120
nannospalax_galili ENSNGAG00000000854
jaculus_jaculus ENSJJAG00000017179
fukomys_damarensis ENSFDAG00000014414
heterocephalus_glaber_female ENSHGLG00000017674
octodon_degus ENSODEG00000008990
octodon_degus ENSODEG00000000055
chinchilla_lanigera ENSCLAG00000004955
cavia_porcellus ENSCPOG00000003808
cavia_aperea ENSCAPG00000008373
marmota_marmota_marmota ENSMMMG00000009369
marmota_marmota_marmota ENSMMMG00000009363
spermophilus_dauricus ENSSDAG00000008404
ictidomys_tridecemlineatus ENSSTOG00000010289
oryctolagus_cuniculus ENSOCUG00000011591
urocitellus_parryii ENSUPAG00010004438
mus_pahari MGP_PahariEiJ_G0018428
gorilla_gorilla ENSGGOG00000040589
pan_paniscus ENSPPAG00000041977
nomascus_leucogenys ENSNLEG00000032430
vulpes_vulpes ENSVVUG00000005506
canis_lupus_familiaris ENSCAFG00000013365
neovison_vison ENSNVIG00000023205
ursus_americanus ENSUAMG00000022066
equus_asinus_asinus ENSEASG00005010594
vicugna_pacos ENSVPAG00000010383
pteropus_vampyrus ENSPVAG00000005571
myotis_lucifugus ENSMLUG00000011972
ovis_aries ENSOARG00000012110
capra_hircus ENSCHIG00000018396
bos_mutus ENSBMUG00000024885
bison_bison_bison ENSBBBG00000013109
bos_taurus ENSBTAG00000009458
sus_scrofa ENSSSCG00000033421
tursiops_truncatus ENSTTRG00000012619
ursus_maritimus ENSUMAG00000016063
ailuropoda_melanoleuca ENSAMEG00000004032
mustela_putorius_furo ENSMPUG00000015168
canis_lupus_dingo ENSCAFG00020026820
panthera_pardus ENSPPRG00000004162
panthera_tigris_altaica ENSPTIG00000013790
felis_catus ENSFCAG00000010931
equus_caballus ENSECAG00000018804
phascolarctos_cinereus ENSPCIG00000012812
notamacropus_eugenii ENSMEUG00000005968
sarcophilus_harrisii ENSSHAG00000002924
monodelphis_domestica ENSMODG00000010257
ochotona_princeps ENSOPRG00000010362
ochotona_princeps ENSOPRG00000014735
neovison_vison ENSNVIG00000023208
ornithorhynchus_anatinus ENSOANG00000000934
anolis_carolinensis ENSACAG00000016823
pogona_vitticeps ENSPVIG00000020617
notechis_scutatus ENSNSUG00000010217
salvator_merianae ENSSMRG00000007278
