seriola_dumerili ENSSDUG00000005976
seriola_lalandi_dorsalis ENSSLDG00000015412
scophthalmus_maximus ENSSMAG00000020055
mastacembelus_armatus ENSMAMG00000012667
monopterus_albus ENSMALG00000011605
anabas_testudineus ENSATEG00000005222
labrus_bergylta ENSLBEG00000000794
gasterosteus_aculeatus ENSGACG00000008481
mola_mola ENSMMOG00000001782
poecilia_formosa ENSPFOG00000000036
poecilia_mexicana ENSPMEG00000022763
poecilia_latipinna ENSPLAG00000019449
poecilia_reticulata ENSPREG00000000618
xiphophorus_maculatus ENSXMAG00000014021
xiphophorus_couchianus ENSXCOG00000019778
gambusia_affinis ENSGAFG00000006018
fundulus_heteroclitus ENSFHEG00000000386
cyprinodon_variegatus ENSCVAG00000011787
kryptolebias_marmoratus ENSKMAG00000014378
oryzias_latipes ENSORLG00020014515
oryzias_latipes_asm223469v1 ENSORLG00015020791
oryzias_latipes ENSORLG00000007992
oryzias_melastigma ENSOMEG00000021578
amphiprion_percula ENSAPEG00000009881
amphiprion_ocellaris ENSAOCG00000023831
acanthochromis_polyacanthus ENSAPOG00000005785
stegastes_partitus ENSSPAG00000007647
haplochromis_burtoni ENSHBUG00000017129
pundamilia_nyererei ENSPNYG00000015713
astatotilapia_calliptera ENSACLG00000004242
maylandia_zebra ENSMZEG00005014421
oreochromis_niloticus ENSONIG00000003013
neolamprologus_brichardi ENSNBRG00000015667
amphilophus_citrinellus ENSACIG00000015562
cynoglossus_semilaevis ENSCSEG00000004383
periophthalmus_magnuspinnatus ENSPMGG00000012108
hippocampus_comes ENSHCOG00000005145
takifugu_rubripes ENSTRUG00000023518
takifugu_rubripes ENSTRUG00000014608
tetraodon_nigroviridis ENSTNIG00000018416
gadus_morhua ENSGMOG00000007020
esox_lucius ENSELUG00000002961
astyanax_mexicanus ENSAMXG00000030456
pygocentrus_nattereri ENSPNAG00000009018
pygocentrus_nattereri ENSPNAG00000018649
ictalurus_punctatus ENSIPUG00000007593
danio_rerio ENSDARG00000069594
paramormyrops_kingsleyae ENSPKIG00000001800
scleropages_formosus ENSSFOG00015010843
lepisosteus_oculatus ENSLOCG00000008249
phascolarctos_cinereus ENSPCIG00000029682
notamacropus_eugenii ENSMEUG00000014170
monodelphis_domestica ENSMODG00000011220
sarcophilus_harrisii ENSSHAG00000015411
ovis_aries ENSOARG00000011127
capra_hircus ENSCHIG00000008522
bos_mutus ENSBMUG00000012374
bos_taurus ENSBTAG00000019217
bison_bison_bison ENSBBBG00000012080
tursiops_truncatus ENSTTRG00000007104
sus_scrofa ENSSSCG00000020858
vicugna_pacos ENSVPAG00000002073
equus_asinus_asinus ENSEASG00005009582
equus_caballus ENSECAG00000000596
ursus_maritimus ENSUMAG00000016617
ursus_americanus ENSUAMG00000001142
ailuropoda_melanoleuca ENSAMEG00000000766
neovison_vison ENSNVIG00000019856
mustela_putorius_furo ENSMPUG00000005136
vulpes_vulpes ENSVVUG00000003156
canis_lupus_familiaris ENSCAFG00000010101
panthera_tigris_altaica ENSPTIG00000000524
panthera_pardus ENSPPRG00000008230
felis_catus ENSFCAG00000011587
erinaceus_europaeus ENSEEUG00000000642
myotis_lucifugus ENSMLUG00000005422
myotis_lucifugus ENSMLUG00000027746
pteropus_vampyrus ENSPVAG00000012635
canis_lupus_dingo ENSCAFG00020010528
canis_lupus_dingo ENSCAFG00020010689
ailuropoda_melanoleuca ENSAMEG00000008345
sorex_araneus ENSSARG00000013368
tupaia_belangeri ENSTBEG00000004365
oryctolagus_cuniculus ENSOCUG00000017955
ochotona_princeps ENSOPRG00000003356
dipodomys_ordii ENSDORG00000001741
castor_canadensis ENSCCNG00000021849
castor_canadensis ENSCCNG00000021820
urocitellus_parryii ENSUPAG00010019853
ictidomys_tridecemlineatus ENSSTOG00000005859
spermophilus_dauricus ENSSDAG00000023558
marmota_marmota_marmota ENSMMMG00000016192
