heterocephalus_glaber_female ENSHGLG00000013454
heterocephalus_glaber_male ENSHGLG00100016958
fukomys_damarensis ENSFDAG00000014158
chinchilla_lanigera ENSCLAG00000009659
octodon_degus ENSODEG00000011173
cavia_aperea ENSCAPG00000011117
cavia_porcellus ENSCPOG00000003119
cricetulus_griseus_crigri-picr ENSCGRG00015026758
cricetulus_griseus_crigri ENSCGRG00000007183
cricetulus_griseus_chok1gshd ENSCGRG00001014895
mesocricetus_auratus ENSMAUG00000015963
microtus_ochrogaster ENSMOCG00000002317
peromyscus_maniculatus_bairdii ENSPEMG00000020767
mus_spicilegus ENSMSIG00000007283
mus_spicilegus ENSMSIG00000029303
mus_musculus ENSMUSG00000048285
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018666
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017821
mus_pahari MGP_PahariEiJ_G0029577
rattus_norvegicus ENSRNOG00000007329
meriones_unguiculatus ENSMUGG00000014058
nannospalax_galili ENSNGAG00000015139
jaculus_jaculus ENSJJAG00000006781
oryctolagus_cuniculus ENSOCUG00000015126
ochotona_princeps ENSOPRG00000001288
pteropus_vampyrus ENSPVAG00000017204
myotis_lucifugus ENSMLUG00000015602
ursus_maritimus ENSUMAG00000013996
ursus_americanus ENSUAMG00000011216
ailuropoda_melanoleuca ENSAMEG00000002118
mustela_putorius_furo ENSMPUG00000005241
neovison_vison ENSNVIG00000001769
canis_lupus_familiaris ENSCAFG00000014633
canis_lupus_dingo ENSCAFG00020018940
vulpes_vulpes ENSVVUG00000029743
panthera_pardus ENSPPRG00000002191
panthera_tigris_altaica ENSPTIG00000009476
felis_catus ENSFCAG00000025858
capra_hircus ENSCHIG00000016383
ovis_aries ENSOARG00000020699
bos_mutus ENSBMUG00000005269
bos_taurus ENSBTAG00000031707
bison_bison_bison ENSBBBG00000015146
tursiops_truncatus ENSTTRG00000012685
sus_scrofa ENSSSCG00000005027
vicugna_pacos ENSVPAG00000000753
sorex_araneus ENSSARG00000000063
erinaceus_europaeus ENSEEUG00000011526
carlito_syrichta ENSTSYG00000009135
castor_canadensis ENSCCNG00000014675
dipodomys_ordii ENSDORG00000009871
urocitellus_parryii ENSUPAG00010001440
marmota_marmota_marmota ENSMMMG00000001292
ictidomys_tridecemlineatus ENSSTOG00000003275
spermophilus_dauricus ENSSDAG00000016238
tupaia_belangeri ENSTBEG00000013402
pan_troglodytes ENSPTRG00000006340
pan_paniscus ENSPPAG00000040522
homo_sapiens ENSG00000139926
gorilla_gorilla ENSGGOG00000002249
pongo_abelii ENSPPYG00000005811
nomascus_leucogenys ENSNLEG00000012376
colobus_angolensis_palliatus ENSCANG00000039255
piliocolobus_tephrosceles ENSPTEG00000039114
rhinopithecus_bieti ENSRBIG00000043986
rhinopithecus_roxellana ENSRROG00000014935
macaca_mulatta ENSMMUG00000018274
macaca_fascicularis ENSMFAG00000039658
macaca_nemestrina ENSMNEG00000044483
theropithecus_gelada ENSTGEG00000009066
papio_anubis ENSPANG00000016047
cercocebus_atys ENSCATG00000029402
mandrillus_leucophaeus ENSMLEG00000042636
chlorocebus_sabaeus ENSCSAG00000015086
cebus_capucinus ENSCCAG00000036892
saimiri_boliviensis_boliviensis ENSSBOG00000023137
callithrix_jacchus ENSCJAG00000006907
aotus_nancymaae ENSANAG00000033892
cebus_capucinus ENSCCAG00000020684
propithecus_coquereli ENSPCOG00000015723
prolemur_simus ENSPSMG00000009652
microcebus_murinus ENSMICG00000035237
dasypus_novemcinctus ENSDNOG00000032176
choloepus_hoffmanni ENSCHOG00000012932
loxodonta_africana ENSLAFG00000017794
procavia_capensis ENSPCAG00000008985
equus_caballus ENSECAG00000007999
equus_asinus_asinus ENSEASG00005008349
otolemur_garnettii ENSOGAG00000007080
echinops_telfairi ENSETEG00000010985
echinops_telfairi ENSETEG00000018997
sarcophilus_harrisii ENSSHAG00000003492
monodelphis_domestica ENSMODG00000013207
phascolarctos_cinereus ENSPCIG00000030222
notamacropus_eugenii ENSMEUG00000007716
ornithorhynchus_anatinus ENSOANG00000013962
coturnix_japonica ENSCJPG00005007614
coturnix_japonica ENSCJPG00005011319
numida_meleagris ENSNMEG00000019927
meleagris_gallopavo ENSMGAG00000013780
anas_platyrhynchos_platyrhynchos ENSAPLG00000017328
taeniopygia_guttata ENSTGUG00000017072
anser_brachyrhynchus ENSABRG00000009982
manacus_vitellinus ENSMVIG00005007910
lepidothrix_coronata ENSLCOG00000011353
cyanistes_caeruleus ENSCCEG00000001460
parus_major ENSPMJG00000011877
