ictidomys_tridecemlineatus ENSSTOG00000024994
dipodomys_ordii ENSDORG00000026536
oryctolagus_cuniculus ENSOCUG00000011018
propithecus_coquereli ENSPCOG00000027328
otolemur_garnettii ENSOGAG00000031581
pongo_abelii ENSPPYG00000006400
pteropus_vampyrus ENSPVAG00000000760
myotis_lucifugus ENSMLUG00000017440
bos_mutus ENSBMUG00000020280
bos_taurus ENSBTAG00000048958
ovis_aries ENSOARG00000020558
capra_hircus ENSCHIG00000008631
tursiops_truncatus ENSTTRG00000011124
sus_scrofa ENSSSCG00000022039
canis_lupus_familiaris ENSCAFG00000011155
vulpes_vulpes ENSVVUG00000008809
ailuropoda_melanoleuca ENSAMEG00000015733
equus_caballus ENSECAG00000022851
equus_asinus_asinus ENSEASG00005013143
erinaceus_europaeus ENSEEUG00000004580
sorex_araneus ENSSARG00000001318
choloepus_hoffmanni ENSCHOG00000006191
dasypus_novemcinctus ENSDNOG00000033735
loxodonta_africana ENSLAFG00000008680
