mus_musculus ENSMUSG00000040891
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030350
mus_spicilegus ENSMSIG00000004505
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029266
mus_pahari MGP_PahariEiJ_G0021126
rattus_norvegicus ENSRNOG00000014256
meriones_unguiculatus ENSMUGG00000002527
cricetulus_griseus_crigri-picr ENSCGRG00015008327
cricetulus_griseus_chok1gshd ENSCGRG00001011296
cricetulus_griseus_crigri ENSCGRG00000009510
mesocricetus_auratus ENSMAUG00000007869
peromyscus_maniculatus_bairdii ENSPEMG00000016723
microtus_ochrogaster ENSMOCG00000002412
nannospalax_galili ENSNGAG00000018714
jaculus_jaculus ENSJJAG00000006780
pteropus_vampyrus ENSPVAG00000001359
pan_troglodytes ENSPTRG00000011170
pan_paniscus ENSPPAG00000042745
homo_sapiens ENSG00000170608
gorilla_gorilla ENSGGOG00000003972
pongo_abelii ENSPPYG00000010580
nomascus_leucogenys ENSNLEG00000002392
piliocolobus_tephrosceles ENSPTEG00000037763
colobus_angolensis_palliatus ENSCANG00000016103
rhinopithecus_roxellana ENSRROG00000041934
rhinopithecus_bieti ENSRBIG00000037992
papio_anubis ENSPANG00000034535
theropithecus_gelada ENSTGEG00000022112
cercocebus_atys ENSCATG00000040589
macaca_fascicularis ENSMFAG00000040557
macaca_mulatta ENSMMUG00000015438
macaca_nemestrina ENSMNEG00000040470
mandrillus_leucophaeus ENSMLEG00000036460
chlorocebus_sabaeus ENSCSAG00000003110
cebus_capucinus ENSCCAG00000025829
callithrix_jacchus ENSCJAG00000012163
saimiri_boliviensis_boliviensis ENSSBOG00000021160
aotus_nancymaae ENSANAG00000036063
carlito_syrichta ENSTSYG00000030463
prolemur_simus ENSPSMG00000024546
microcebus_murinus ENSMICG00000038321
propithecus_coquereli ENSPCOG00000022077
otolemur_garnettii ENSOGAG00000030286
ochotona_princeps ENSOPRG00000010003
oryctolagus_cuniculus ENSOCUG00000001477
cavia_porcellus ENSCPOG00000024661
cavia_aperea ENSCAPG00000015410
chinchilla_lanigera ENSCLAG00000001661
heterocephalus_glaber_male ENSHGLG00100016490
heterocephalus_glaber_female ENSHGLG00000019353
fukomys_damarensis ENSFDAG00000017846
octodon_degus ENSODEG00000007265
castor_canadensis ENSCCNG00000031618
dipodomys_ordii ENSDORG00000023140
ictidomys_tridecemlineatus ENSSTOG00000027457
marmota_marmota_marmota ENSMMMG00000013927
spermophilus_dauricus ENSSDAG00000011541
urocitellus_parryii ENSUPAG00010021496
bos_taurus ENSBTAG00000012104
bos_mutus ENSBMUG00000019029
bison_bison_bison ENSBBBG00000014845
capra_hircus ENSCHIG00000011232
ovis_aries ENSOARG00000010386
tursiops_truncatus ENSTTRG00000014312
sus_scrofa ENSSSCG00000003092
vicugna_pacos ENSVPAG00000001134
ursus_americanus ENSUAMG00000023167
ailuropoda_melanoleuca ENSAMEG00000000677
mustela_putorius_furo ENSMPUG00000005501
neovison_vison ENSNVIG00000009388
canis_lupus_dingo ENSCAFG00020001802
canis_lupus_familiaris ENSCAFG00000004363
vulpes_vulpes ENSVVUG00000003017
felis_catus ENSFCAG00000027946
panthera_pardus ENSPPRG00000004095
equus_asinus_asinus ENSEASG00005014229
equus_caballus ENSECAG00000005936
loxodonta_africana ENSLAFG00000030436
procavia_capensis ENSPCAG00000005390
dasypus_novemcinctus ENSDNOG00000032062
monodelphis_domestica ENSMODG00000021533
phascolarctos_cinereus ENSPCIG00000007644
