chelonoidis_abingdonii ENSCABG00000017871
gopherus_agassizii ENSGAGG00000020391
chrysemys_picta ENSCPBG00000001072
pelodiscus_sinensis ENSPSIG00000006851
crocodylus_porosus ENSCPRG00005002920
anolis_carolinensis ENSACAG00000008090
pogona_vitticeps ENSPVIG00000016165
notechis_scutatus ENSNSUG00000020320
salvator_merianae ENSSMRG00000016321
sphenodon_punctatus ENSSPUG00000011425
parus_major ENSPMJG00000017773
cyanistes_caeruleus ENSCCEG00000006639
ficedula_albicollis ENSFALG00000000016
taeniopygia_guttata ENSTGUG00000016289
lepidothrix_coronata ENSLCOG00000002893
melopsittacus_undulatus ENSMUNG00000001999
calidris_pugnax ENSCPUG00000016007
calidris_pygmaea ENSCPGG00000000472
gallus_gallus ENSGALG00000050272
coturnix_japonica ENSCJPG00005002406
anser_brachyrhynchus ENSABRG00000004917
apteryx_haastii ENSAHAG00000002771
apteryx_owenii ENSAOWG00000007483
apteryx_rowi ENSARWG00000011692
dromaius_novaehollandiae ENSDNVG00000007975
nothoprocta_perdicaria ENSNPEG00000010354
castor_canadensis ENSCCNG00000005929
dipodomys_ordii ENSDORG00000011899
mus_spretus MGP_SPRETEiJ_G0020378
mus_musculus ENSMUSG00000033589
mus_spicilegus ENSMSIG00000031180
mus_caroli MGP_CAROLIEiJ_G0019486
mus_pahari MGP_PahariEiJ_G0030503
rattus_norvegicus ENSRNOG00000011373
meriones_unguiculatus ENSMUGG00000010318
peromyscus_maniculatus ENSPEMG00000023573
microtus_ochrogaster ENSMOCG00000022325
cricetulus_griseus ENSCGRG00001006811
cricetulus_griseus ENSCGRG00000003951
cricetulus_griseus ENSCGRG00015006795
mesocricetus_auratus ENSMAUG00000008766
nannospalax_galili ENSNGAG00000013623
jaculus_jaculus ENSJJAG00000011531
heterocephalus_glaber ENSHGLG00000016443
heterocephalus_glaber ENSHGLG00100019205
fukomys_damarensis ENSFDAG00000019227
chinchilla_lanigera ENSCLAG00000013685
octodon_degus ENSODEG00000006662
cavia_porcellus ENSCPOG00000003298
cavia_aperea ENSCAPG00000010028
ictidomys_tridecemlineatus ENSSTOG00000016513
spermophilus_dauricus ENSSDAG00000005002
marmota_marmota ENSMMMG00000017428
urocitellus_parryii ENSUPAG00010017856
oryctolagus_cuniculus ENSOCUG00000002017
homo_sapiens ENSG00000168476
gorilla_gorilla ENSGGOG00000004492
pan_paniscus ENSPPAG00000035458
pan_troglodytes ENSPTRG00000020051
pongo_abelii ENSPPYG00000018414
nomascus_leucogenys ENSNLEG00000026748
colobus_angolensis ENSCANG00000042657
piliocolobus_tephrosceles ENSPTEG00000025973
rhinopithecus_roxellana ENSRROG00000032220
papio_anubis ENSPANG00000034622
theropithecus_gelada ENSTGEG00000024167
mandrillus_leucophaeus ENSMLEG00000035103
chlorocebus_sabaeus ENSCSAG00000016559
macaca_fascicularis ENSMFAG00000036428
macaca_nemestrina ENSMNEG00000027664
cercocebus_atys ENSCATG00000041240
saimiri_boliviensis ENSSBOG00000033132
cebus_capucinus ENSCCAG00000034865
callithrix_jacchus ENSCJAG00000020323
aotus_nancymaae ENSANAG00000028478
carlito_syrichta ENSTSYG00000034330
microcebus_murinus ENSMICG00000001013
propithecus_coquereli ENSPCOG00000020374
otolemur_garnettii ENSOGAG00000004897
ursus_americanus ENSUAMG00000002439
ursus_maritimus ENSUMAG00000006361
ailuropoda_melanoleuca ENSAMEG00000003360
neovison_vison ENSNVIG00000022169
mustela_putorius ENSMPUG00000003921
canis_lupus ENSCAFG00000009647
canis_lupus ENSCAFG00020017868
vulpes_vulpes ENSVVUG00000006388
panthera_pardus ENSPPRG00000011897
panthera_tigris ENSPTIG00000017415
felis_catus ENSFCAG00000041047
equus_asinus ENSEASG00005018837
pteropus_vampyrus ENSPVAG00000009864
myotis_lucifugus ENSMLUG00000022968
ovis_aries ENSOARG00000010450
capra_hircus ENSCHIG00000025331
bison_bison ENSBBBG00000014642
bos_taurus ENSBTAG00000009504
tursiops_truncatus ENSTTRG00000012058
sus_scrofa ENSSSCG00000009617
loxodonta_africana ENSLAFG00000001522
procavia_capensis ENSPCAG00000001766
equus_caballus ENSECAG00000015249
bos_mutus ENSBMUG00000013469
macaca_mulatta ENSMMUG00000013027
rhinopithecus_bieti ENSRBIG00000043571
prolemur_simus ENSPSMG00000005543
dasypus_novemcinctus ENSDNOG00000048348
phascolarctos_cinereus ENSPCIG00000012706
notamacropus_eugenii ENSMEUG00000013257
sarcophilus_harrisii ENSSHAG00000018091
monodelphis_domestica ENSMODG00000009592
ornithorhynchus_anatinus ENSOANG00000001144
xenopus_tropicalis ENSXETG00000010537
latimeria_chalumnae ENSLACG00000017847
