cricetulus_griseus_crigri-picr ENSCGRG00015023152
cricetulus_griseus_crigri ENSCGRG00000011493
cricetulus_griseus_chok1gshd ENSCGRG00001023110
mesocricetus_auratus ENSMAUG00000011265
peromyscus_maniculatus_bairdii ENSPEMG00000022501
microtus_ochrogaster ENSMOCG00000011142
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031661
mus_spicilegus ENSMSIG00000024038
mus_musculus ENSMUSG00000030844
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030547
mus_pahari MGP_PahariEiJ_G0013754
rattus_norvegicus ENSRNOG00000042592
meriones_unguiculatus ENSMUGG00000013513
nannospalax_galili ENSNGAG00000022036
jaculus_jaculus ENSJJAG00000010554
dipodomys_ordii ENSDORG00000003521
ictidomys_tridecemlineatus ENSSTOG00000004925
urocitellus_parryii ENSUPAG00010006669
marmota_marmota_marmota ENSMMMG00000000551
spermophilus_dauricus ENSSDAG00000018899
chinchilla_lanigera ENSCLAG00000001093
cavia_porcellus ENSCPOG00000004325
octodon_degus ENSODEG00000017673
heterocephalus_glaber_female ENSHGLG00000017307
heterocephalus_glaber_male ENSHGLG00100014350
fukomys_damarensis ENSFDAG00000014167
ochotona_princeps ENSOPRG00000017209
oryctolagus_cuniculus ENSOCUG00000014618
pan_paniscus ENSPPAG00000028477
pan_troglodytes ENSPTRG00000002995
homo_sapiens ENSG00000148908
gorilla_gorilla ENSGGOG00000008414
pongo_abelii ENSPPYG00000002702
nomascus_leucogenys ENSNLEG00000035071
rhinopithecus_roxellana ENSRROG00000030607
colobus_angolensis_palliatus ENSCANG00000041189
piliocolobus_tephrosceles ENSPTEG00000035532
macaca_nemestrina ENSMNEG00000038381
macaca_fascicularis ENSMFAG00000035933
macaca_mulatta ENSMMUG00000021610
mandrillus_leucophaeus ENSMLEG00000028058
chlorocebus_sabaeus ENSCSAG00000004742
theropithecus_gelada ENSTGEG00000027004
papio_anubis ENSPANG00000020561
cercocebus_atys ENSCATG00000032717
saimiri_boliviensis_boliviensis ENSSBOG00000023795
cebus_capucinus ENSCCAG00000021937
callithrix_jacchus ENSCJAG00000019675
aotus_nancymaae ENSANAG00000037765
carlito_syrichta ENSTSYG00000008954
propithecus_coquereli ENSPCOG00000020094
otolemur_garnettii ENSOGAG00000030571
tupaia_belangeri ENSTBEG00000007009
ursus_maritimus ENSUMAG00000003205
ursus_americanus ENSUAMG00000009666
ailuropoda_melanoleuca ENSAMEG00000010141
canis_lupus_dingo ENSCAFG00020013888
canis_lupus_familiaris ENSCAFG00000031204
mustela_putorius_furo ENSMPUG00000003064
neovison_vison ENSNVIG00000005120
panthera_pardus ENSPPRG00000003836
panthera_tigris_altaica ENSPTIG00000006086
felis_catus ENSFCAG00000026725
equus_asinus_asinus ENSEASG00005014451
equus_caballus ENSECAG00000023632
bos_taurus ENSBTAG00000002647
bos_mutus ENSBMUG00000007300
ovis_aries ENSOARG00000002476
bison_bison_bison ENSBBBG00000010192
capra_hircus ENSCHIG00000011045
tursiops_truncatus ENSTTRG00000014573
vicugna_pacos ENSVPAG00000006211
sus_scrofa ENSSSCG00000039838
pteropus_vampyrus ENSPVAG00000003163
myotis_lucifugus ENSMLUG00000004638
erinaceus_europaeus ENSEEUG00000011817
procavia_capensis ENSPCAG00000003150
echinops_telfairi ENSETEG00000000810
dasypus_novemcinctus ENSDNOG00000041688
choloepus_hoffmanni ENSCHOG00000009143
notamacropus_eugenii ENSMEUG00000007585
phascolarctos_cinereus ENSPCIG00000003153
monodelphis_domestica ENSMODG00000008876
gopherus_agassizii ENSGAGG00000023120
chelonoidis_abingdonii ENSCABG00000017983
chrysemys_picta_bellii ENSCPBG00000001134
anser_brachyrhynchus ENSABRG00000001042
anas_platyrhynchos_platyrhynchos ENSAPLG00000009045
gallus_gallus ENSGALG00000009422
coturnix_japonica ENSCJPG00005020142
meleagris_gallopavo ENSMGAG00000011359
numida_meleagris ENSNMEG00000012832
lepidothrix_coronata ENSLCOG00000010014
manacus_vitellinus ENSMVIG00005015829
lonchura_striata_domestica ENSLSDG00000017847
taeniopygia_guttata ENSTGUG00000011146
serinus_canaria ENSSCAG00000014206
zonotrichia_albicollis ENSZALG00000012674
junco_hyemalis ENSJHYG00000010361
parus_major ENSPMJG00000005630
cyanistes_caeruleus ENSCCEG00000017707
ficedula_albicollis ENSFALG00000002181
melopsittacus_undulatus ENSMUNG00000006685
calidris_pygmaea ENSCPGG00000011370
calidris_pugnax ENSCPUG00000019461
apteryx_rowi ENSARWG00000000416
apteryx_haastii ENSAHAG00000006490
dromaius_novaehollandiae ENSDNVG00000007459
pogona_vitticeps ENSPVIG00000013991
anolis_carolinensis ENSACAG00000016977
notechis_scutatus ENSNSUG00000001871
xenopus_tropicalis ENSXETG00000010231
latimeria_chalumnae ENSLACG00000012231
lepisosteus_oculatus ENSLOCG00000011392
ciona_intestinalis ENSCING00000018843
drosophila_melanogaster FBgn0020278
