cebus_capucinus ENSCCAG00000019905
callithrix_jacchus ENSCJAG00000046191
theropithecus_gelada ENSTGEG00000023487
cercocebus_atys ENSCATG00000018918
macaca_nemestrina ENSMNEG00000003361
macaca_fascicularis ENSMFAG00000022808
macaca_mulatta ENSMMUG00000038604
mandrillus_leucophaeus ENSMLEG00000008070
papio_anubis ENSPANG00000032721
piliocolobus_tephrosceles ENSPTEG00000036033
colobus_angolensis_palliatus ENSCANG00000003557
rhinopithecus_roxellana ENSRROG00000017726
rhinopithecus_bieti ENSRBIG00000020186
prolemur_simus ENSPSMG00000016380
ursus_americanus ENSUAMG00000008131
ursus_maritimus ENSUMAG00000022197
neovison_vison ENSNVIG00000014234
equus_asinus_asinus ENSEASG00005021690
