felis_catus ENSFCAG00000040139
panthera_pardus ENSPPRG00000022472
castor_canadensis ENSCCNG00000010291
castor_canadensis ENSCCNG00000027642
meriones_unguiculatus ENSMUGG00000023747
urocitellus_parryii ENSUPAG00010002502
pan_troglodytes ENSPTRG00000051226
pan_paniscus ENSPPAG00000040176
gorilla_gorilla ENSGGOG00000038243
gorilla_gorilla ENSGGOG00000041012
rhinopithecus_bieti ENSRBIG00000006170
colobus_angolensis_palliatus ENSCANG00000041151
piliocolobus_tephrosceles ENSPTEG00000029144
theropithecus_gelada ENSTGEG00000009264
saimiri_boliviensis_boliviensis ENSSBOG00000020561
aotus_nancymaae ENSANAG00000035913
macaca_fascicularis ENSMFAG00000039351
macaca_nemestrina ENSMNEG00000044891
mandrillus_leucophaeus ENSMLEG00000023931
cercocebus_atys ENSCATG00000032815
xiphophorus_couchianus ENSXCOG00000010648
