stegastes_partitus ENSSPAG00000018220
amphiprion_percula ENSAPEG00000018333
neolamprologus_brichardi ENSNBRG00000024287
xiphophorus_maculatus ENSXMAG00000000557
gambusia_affinis ENSGAFG00000020229
poecilia_formosa ENSPFOG00000001481
poecilia_latipinna ENSPLAG00000004409
poecilia_reticulata ENSPREG00000014637
fundulus_heteroclitus ENSFHEG00000014242
monopterus_albus ENSMALG00000006275
mastacembelus_armatus ENSMAMG00000009574
anabas_testudineus ENSATEG00000010584
cyprinodon_variegatus ENSCVAG00000008629
pygocentrus_nattereri ENSPNAG00000000070
