amphilophus_citrinellus ENSACIG00000007799
pundamilia_nyererei ENSPNYG00000022545
poecilia_latipinna ENSPLAG00000006486
xiphophorus_couchianus ENSXCOG00000018525
amphiprion_percula ENSAPEG00000021172
gasterosteus_aculeatus ENSGACG00000020894
seriola_dumerili ENSSDUG00000023381
periophthalmus_magnuspinnatus ENSPMGG00000012420
anabas_testudineus ENSATEG00000010503
hippocampus_comes ENSHCOG00000004345
gadus_morhua ENSGMOG00000014345
stegastes_partitus ENSSPAG00000011514
kryptolebias_marmoratus ENSKMAG00000007371
mola_mola ENSMMOG00000016489
takifugu_rubripes ENSTRUG00000024103
pelodiscus_sinensis ENSPSIG00000000178
anolis_carolinensis ENSACAG00000028140
