cebus_capucinus ENSCCAG00000007333
callithrix_jacchus ENSCJAG00000045151
saimiri_boliviensis_boliviensis ENSSBOG00000026819
aotus_nancymaae ENSANAG00000033874
pan_troglodytes ENSPTRG00000005435
pan_paniscus ENSPPAG00000036117
homo_sapiens ENSG00000174456
gorilla_gorilla ENSGGOG00000025942
pongo_abelii ENSPPYG00000004943
nomascus_leucogenys ENSNLEG00000002602
mandrillus_leucophaeus ENSMLEG00000041907
papio_anubis ENSPANG00000022858
cercocebus_atys ENSCATG00000031038
macaca_nemestrina ENSMNEG00000024782
colobus_angolensis_palliatus ENSCANG00000038739
piliocolobus_tephrosceles ENSPTEG00000022934
macaca_mulatta ENSMMUG00000020826
macaca_fascicularis ENSMFAG00000030466
chlorocebus_sabaeus ENSCSAG00000002701
rhinopithecus_bieti ENSRBIG00000030983
rhinopithecus_roxellana ENSRROG00000038996
