ursus_maritimus ENSUMAG00000004127
ursus_americanus ENSUAMG00000011654
mustela_putorius_furo ENSMPUG00000006370
canis_lupus_dingo ENSCAFG00020015031
canis_lupus_familiaris ENSCAFG00000030603
vulpes_vulpes ENSVVUG00000027953
felis_catus ENSFCAG00000040963
pteropus_vampyrus ENSPVAG00000006496
equus_asinus_asinus ENSEASG00005020391
capra_hircus ENSCHIG00000013672
ovis_aries ENSOARG00000003634
bos_taurus ENSBTAG00000000195
bos_mutus ENSBMUG00000003948
sus_scrofa ENSSSCG00000033232
erinaceus_europaeus ENSEEUG00000000788
marmota_marmota_marmota ENSMMMG00000000160
