latimeria_chalumnae ENSLACG00000008567
melopsittacus_undulatus ENSMUNG00000000325
anabas_testudineus ENSATEG00000003797
monopterus_albus ENSMALG00000018991
gasterosteus_aculeatus ENSGACG00000011786
tetraodon_nigroviridis ENSTNIG00000006632
poecilia_formosa ENSPFOG00000018361
poecilia_latipinna ENSPLAG00000017132
poecilia_reticulata ENSPREG00000010714
xiphophorus_maculatus ENSXMAG00000013221
gambusia_affinis ENSGAFG00000000476
fundulus_heteroclitus ENSFHEG00000022866
cyprinodon_variegatus ENSCVAG00000003169
oryzias_latipes ENSORLG00020016851
oryzias_latipes ENSORLG00000016620
oryzias_latipes_asm223469v1 ENSORLG00015012494
astatotilapia_calliptera ENSACLG00000024457
kryptolebias_marmoratus ENSKMAG00000001406
neolamprologus_brichardi ENSNBRG00000003306
acanthochromis_polyacanthus ENSAPOG00000024288
scophthalmus_maximus ENSSMAG00000007823
gadus_morhua ENSGMOG00000018123
esox_lucius ENSELUG00000002760
pygocentrus_nattereri ENSPNAG00000007927
ictalurus_punctatus ENSIPUG00000007460
danio_rerio ENSDARG00000039652
scleropages_formosus ENSSFOG00015014090
lepisosteus_oculatus ENSLOCG00000009009
paramormyrops_kingsleyae ENSPKIG00000021596
notechis_scutatus ENSNSUG00000010734
ictalurus_punctatus ENSIPUG00000010128
xiphophorus_couchianus ENSXCOG00000006574
ornithorhynchus_anatinus ENSOANG00000011238
chrysemys_picta_bellii ENSCPBG00000003429
sus_scrofa ENSSSCG00000022228
astyanax_mexicanus ENSAMXG00000010096
petromyzon_marinus ENSPMAG00000008009
eptatretus_burgeri ENSEBUG00000001182
ciona_intestinalis ENSCING00000021959
ciona_savignyi ENSCSAVG00000006017
ciona_intestinalis ENSCING00000022662
paramormyrops_kingsleyae ENSPKIG00000021577
acanthochromis_polyacanthus ENSAPOG00000000285
oryzias_latipes_asm223469v1 ENSORLG00015009262
oryzias_latipes ENSORLG00020002733
fundulus_heteroclitus ENSFHEG00000020612
pundamilia_nyererei ENSPNYG00000006368
seriola_lalandi_dorsalis ENSSLDG00000007901
seriola_lalandi_dorsalis ENSSLDG00000000819
esox_lucius ENSELUG00000015812
ictalurus_punctatus ENSIPUG00000010117
ciona_intestinalis ENSCING00000016664
ciona_savignyi ENSCSAVG00000001096
cyprinodon_variegatus ENSCVAG00000006964
poecilia_reticulata ENSPREG00000019705
kryptolebias_marmoratus ENSKMAG00000019337
oryzias_latipes_asm223469v1 ENSORLG00015001056
oryzias_latipes ENSORLG00000025386
xiphophorus_couchianus ENSXCOG00000013380
amphiprion_ocellaris ENSAOCG00000023535
amphiprion_percula ENSAPEG00000013805
seriola_lalandi_dorsalis ENSSLDG00000019662
hippocampus_comes ENSHCOG00000006399
anolis_carolinensis ENSACAG00000013309
eptatretus_burgeri ENSEBUG00000001857
ciona_intestinalis ENSCING00000020702
caenorhabditis_elegans_strain_n2 WBGene00007170
drosophila_melanogaster FBgn0052373
