mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023717
mus_spicilegus ENSMSIG00000027785
mus_musculus ENSMUSG00000056829
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022798
mus_pahari MGP_PahariEiJ_G0014293
rattus_norvegicus ENSRNOG00000032137
cricetulus_griseus_chok1gshd ENSCGRG00001010014
cricetulus_griseus_crigri-picr ENSCGRG00015005054
mesocricetus_auratus ENSMAUG00000002346
microtus_ochrogaster ENSMOCG00000001949
nannospalax_galili ENSNGAG00000008321
jaculus_jaculus ENSJJAG00000010748
chinchilla_lanigera ENSCLAG00000002151
octodon_degus ENSODEG00000018997
heterocephalus_glaber_female ENSHGLG00000001812
castor_canadensis ENSCCNG00000014949
urocitellus_parryii ENSUPAG00010021845
oryctolagus_cuniculus ENSOCUG00000002111
propithecus_coquereli ENSPCOG00000025595
prolemur_simus ENSPSMG00000017149
microcebus_murinus ENSMICG00000032613
otolemur_garnettii ENSOGAG00000031210
pan_troglodytes ENSPTRG00000029242
gorilla_gorilla ENSGGOG00000043358
homo_sapiens ENSG00000204612
pongo_abelii ENSPPYG00000019307
rhinopithecus_bieti ENSRBIG00000030572
rhinopithecus_roxellana ENSRROG00000016915
piliocolobus_tephrosceles ENSPTEG00000038284
colobus_angolensis_palliatus ENSCANG00000036946
macaca_mulatta ENSMMUG00000021769
macaca_nemestrina ENSMNEG00000023676
macaca_fascicularis ENSMFAG00000017898
cercocebus_atys ENSCATG00000022251
papio_anubis ENSPANG00000024937
theropithecus_gelada ENSTGEG00000026744
cebus_capucinus ENSCCAG00000019520
callithrix_jacchus ENSCJAG00000047238
saimiri_boliviensis_boliviensis ENSSBOG00000024647
aotus_nancymaae ENSANAG00000021097
equus_caballus ENSECAG00000033811
loxodonta_africana ENSLAFG00000022363
meriones_unguiculatus ENSMUGG00000011018
dasypus_novemcinctus ENSDNOG00000041384
choloepus_hoffmanni ENSCHOG00000007726
mustela_putorius_furo ENSMPUG00000012521
neovison_vison ENSNVIG00000012653
canis_lupus_familiaris ENSCAFG00000001637
ursus_americanus ENSUAMG00000007731
ailuropoda_melanoleuca ENSAMEG00000005376
felis_catus ENSFCAG00000046576
tursiops_truncatus ENSTTRG00000011568
sus_scrofa ENSSSCG00000005279
vicugna_pacos ENSVPAG00000002649
ovis_aries ENSOARG00000012458
