xiphophorus_maculatus ENSXMAG00000022985
xiphophorus_couchianus ENSXCOG00000004788
gambusia_affinis ENSGAFG00000017572
poecilia_formosa ENSPFOG00000009715
poecilia_latipinna ENSPLAG00000022426
poecilia_mexicana ENSPMEG00000015327
poecilia_reticulata ENSPREG00000007080
cyprinodon_variegatus ENSCVAG00000018907
fundulus_heteroclitus ENSFHEG00000005678
kryptolebias_marmoratus ENSKMAG00000016732
amphiprion_ocellaris ENSAOCG00000020225
amphiprion_percula ENSAPEG00000005450
acanthochromis_polyacanthus ENSAPOG00000005315
stegastes_partitus ENSSPAG00000014692
astatotilapia_calliptera ENSACLG00000013813
maylandia_zebra ENSMZEG00005014743
pundamilia_nyererei ENSPNYG00000018156
haplochromis_burtoni ENSHBUG00000010545
neolamprologus_brichardi ENSNBRG00000024125
oreochromis_niloticus ENSONIG00000012278
amphilophus_citrinellus ENSACIG00000004960
gasterosteus_aculeatus ENSGACG00000004891
labrus_bergylta ENSLBEG00000027391
mola_mola ENSMMOG00000021369
scophthalmus_maximus ENSSMAG00000007841
cynoglossus_semilaevis ENSCSEG00000012659
seriola_dumerili ENSSDUG00000003021
seriola_lalandi_dorsalis ENSSLDG00000009154
mastacembelus_armatus ENSMAMG00000000104
monopterus_albus ENSMALG00000002536
anabas_testudineus ENSATEG00000018718
takifugu_rubripes ENSTRUG00000020624
oryzias_latipes ENSORLG00000018188
oryzias_latipes_asm223469v1 ENSORLG00015005916
oryzias_latipes ENSORLG00020008616
oryzias_melastigma ENSOMEG00000009327
gadus_morhua ENSGMOG00000015933
esox_lucius ENSELUG00000001985
