macaca_nemestrina ENSMNEG00000039681
macaca_fascicularis ENSMFAG00000008989
theropithecus_gelada ENSTGEG00000027455
rhinopithecus_roxellana ENSRROG00000035321
castor_canadensis ENSCCNG00000028580
chelonoidis_abingdonii ENSCABG00000008464
anas_platyrhynchos_platyrhynchos ENSAPLG00000005000
acanthochromis_polyacanthus ENSAPOG00000006063
mus_pahari MGP_PahariEiJ_G0022080
cricetulus_griseus_crigri ENSCGRG00000008352
dipodomys_ordii ENSDORG00000026755
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028323
meriones_unguiculatus ENSMUGG00000026707
mesocricetus_auratus ENSMAUG00000008677
jaculus_jaculus ENSJJAG00000024312
castor_canadensis ENSCCNG00000005001
mus_spicilegus ENSMSIG00000011348
spermophilus_dauricus ENSSDAG00000014609
heterocephalus_glaber_male ENSHGLG00100006757
cavia_aperea ENSCAPG00000009393
octodon_degus ENSODEG00000013114
pan_troglodytes ENSPTRG00000051967
nomascus_leucogenys ENSNLEG00000029278
capra_hircus ENSCHIG00000026016
bos_taurus ENSBTAG00000052473
sus_scrofa ENSSSCG00000034739
canis_lupus_dingo ENSCAFG00020020541
ursus_maritimus ENSUMAG00000011538
equus_caballus ENSECAG00000036193
loxodonta_africana ENSLAFG00000029312
vulpes_vulpes ENSVVUG00000016553
canis_lupus_dingo ENSCAFG00020008969
ursus_americanus ENSUAMG00000010359
equus_asinus_asinus ENSEASG00005009036
aotus_nancymaae ENSANAG00000026804
sarcophilus_harrisii ENSSHAG00000017317
melopsittacus_undulatus ENSMUNG00000015748
chelonoidis_abingdonii ENSCABG00000021418
pogona_vitticeps ENSPVIG00000001364
danio_rerio ENSDARG00000058969
ictalurus_punctatus ENSIPUG00000004904
poecilia_latipinna ENSPLAG00000019918
poecilia_formosa ENSPFOG00000006955
poecilia_mexicana ENSPMEG00000006372
cyprinodon_variegatus ENSCVAG00000007817
maylandia_zebra ENSMZEG00005021150
petromyzon_marinus ENSPMAG00000006972
