cercocebus_atys ENSCATG00000041394
mandrillus_leucophaeus ENSMLEG00000039403
papio_anubis ENSPANG00000001015
macaca_nemestrina ENSMNEG00000033214
macaca_fascicularis ENSMFAG00000033048
colobus_angolensis_palliatus ENSCANG00000028229
rhinopithecus_roxellana ENSRROG00000044634
pan_troglodytes ENSPTRG00000004588
pan_paniscus ENSPPAG00000033598
gorilla_gorilla ENSGGOG00000014593
homo_sapiens ENSG00000159335
nomascus_leucogenys ENSNLEG00000004666
cebus_capucinus ENSCCAG00000028105
propithecus_coquereli ENSPCOG00000019129
