monopterus_albus ENSMALG00000000128
mastacembelus_armatus ENSMAMG00000002318
anabas_testudineus ENSATEG00000015725
scophthalmus_maximus ENSSMAG00000014877
cynoglossus_semilaevis ENSCSEG00000001859
seriola_dumerili ENSSDUG00000001034
seriola_lalandi_dorsalis ENSSLDG00000007766
takifugu_rubripes ENSTRUG00000003359
tetraodon_nigroviridis ENSTNIG00000003909
mola_mola ENSMMOG00000001370
labrus_bergylta ENSLBEG00000023648
gasterosteus_aculeatus ENSGACG00000019604
xiphophorus_maculatus ENSXMAG00000010936
xiphophorus_couchianus ENSXCOG00000013739
gambusia_affinis ENSGAFG00000019597
poecilia_formosa ENSPFOG00000022483
poecilia_formosa ENSPFOG00000005213
poecilia_mexicana ENSPMEG00000006094
poecilia_latipinna ENSPLAG00000004641
poecilia_reticulata ENSPREG00000006745
fundulus_heteroclitus ENSFHEG00000004832
cyprinodon_variegatus ENSCVAG00000001889
kryptolebias_marmoratus ENSKMAG00000001557
oryzias_latipes ENSORLG00000020604
oryzias_latipes ENSORLG00020008468
oryzias_latipes_asm223469v1 ENSORLG00015017348
oryzias_melastigma ENSOMEG00000011463
haplochromis_burtoni ENSHBUG00000002911
maylandia_zebra ENSMZEG00005017393
astatotilapia_calliptera ENSACLG00000006518
pundamilia_nyererei ENSPNYG00000017738
oreochromis_niloticus ENSONIG00000011547
neolamprologus_brichardi ENSNBRG00000006967
amphilophus_citrinellus ENSACIG00000015399
amphiprion_ocellaris ENSAOCG00000008950
amphiprion_ocellaris ENSAOCG00000023616
amphiprion_percula ENSAPEG00000003627
acanthochromis_polyacanthus ENSAPOG00000002334
stegastes_partitus ENSSPAG00000023524
periophthalmus_magnuspinnatus ENSPMGG00000016146
gadus_morhua ENSGMOG00000000690
esox_lucius ENSELUG00000000066
pygocentrus_nattereri ENSPNAG00000029293
astyanax_mexicanus ENSAMXG00000029978
ictalurus_punctatus ENSIPUG00000017698
danio_rerio ENSDARG00000074684
scleropages_formosus ENSSFOG00015024040
paramormyrops_kingsleyae ENSPKIG00000013109
lepisosteus_oculatus ENSLOCG00000010540
phascolarctos_cinereus ENSPCIG00000027077
sarcophilus_harrisii ENSSHAG00000004271
monodelphis_domestica ENSMODG00000000115
ornithorhynchus_anatinus ENSOANG00000008971
xenopus_tropicalis ENSXETG00000016901
latimeria_chalumnae ENSLACG00000013696
