astatotilapia_calliptera ENSACLG00000021268
maylandia_zebra ENSMZEG00005003397
oryzias_latipes ENSORLG00000005581
oryzias_latipes_asm223469v1 ENSORLG00015009992
oryzias_melastigma ENSOMEG00000008543
scophthalmus_maximus ENSSMAG00000017605
cynoglossus_semilaevis ENSCSEG00000016794
seriola_dumerili ENSSDUG00000021447
seriola_lalandi_dorsalis ENSSLDG00000024140
monopterus_albus ENSMALG00000018705
mastacembelus_armatus ENSMAMG00000008601
anabas_testudineus ENSATEG00000016335
labrus_bergylta ENSLBEG00000016671
stegastes_partitus ENSSPAG00000017385
mola_mola ENSMMOG00000014205
poecilia_latipinna ENSPLAG00000012398
poecilia_mexicana ENSPMEG00000009897
poecilia_formosa ENSPFOG00000021953
xiphophorus_couchianus ENSXCOG00000006363
xiphophorus_maculatus ENSXMAG00000028999
gambusia_affinis ENSGAFG00000015000
esox_lucius ENSELUG00000001770
astyanax_mexicanus ENSAMXG00000036883
pygocentrus_nattereri ENSPNAG00000019327
ictalurus_punctatus ENSIPUG00000003881
danio_rerio ENSDARG00000099819
scleropages_formosus ENSSFOG00015008213
paramormyrops_kingsleyae ENSPKIG00000024960
