dipodomys_ordii ENSDORG00000015787
castor_canadensis ENSCCNG00000022880
mus_spicilegus ENSMSIG00000021870
mus_musculus ENSMUSG00000017720
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025569
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024647
mus_pahari MGP_PahariEiJ_G0026091
rattus_norvegicus ENSRNOG00000026215
meriones_unguiculatus ENSMUGG00000026245
cricetulus_griseus_chok1gshd ENSCGRG00001004068
cricetulus_griseus_crigri-picr ENSCGRG00015022050
cricetulus_griseus_crigri ENSCGRG00000011990
mesocricetus_auratus ENSMAUG00000014043
microtus_ochrogaster ENSMOCG00000019934
peromyscus_maniculatus_bairdii ENSPEMG00000003582
nannospalax_galili ENSNGAG00000014943
chinchilla_lanigera ENSCLAG00000004735
octodon_degus ENSODEG00000015624
cavia_porcellus ENSCPOG00000008537
heterocephalus_glaber_female ENSHGLG00000015165
heterocephalus_glaber_male ENSHGLG00100017328
urocitellus_parryii ENSUPAG00010002919
ictidomys_tridecemlineatus ENSSTOG00000009319
spermophilus_dauricus ENSSDAG00000004174
marmota_marmota_marmota ENSMMMG00000005172
oryctolagus_cuniculus ENSOCUG00000009104
ochotona_princeps ENSOPRG00000012021
macaca_nemestrina ENSMNEG00000035261
macaca_fascicularis ENSMFAG00000043463
macaca_mulatta ENSMMUG00000003408
papio_anubis ENSPANG00000011734
theropithecus_gelada ENSTGEG00000020486
mandrillus_leucophaeus ENSMLEG00000000074
mandrillus_leucophaeus ENSMLEG00000041824
cercocebus_atys ENSCATG00000043897
chlorocebus_sabaeus ENSCSAG00000014382
piliocolobus_tephrosceles ENSPTEG00000023426
colobus_angolensis_palliatus ENSCANG00000027910
rhinopithecus_bieti ENSRBIG00000044037
rhinopithecus_roxellana ENSRROG00000037864
pan_paniscus ENSPPAG00000034658
pan_troglodytes ENSPTRG00000013545
gorilla_gorilla ENSGGOG00000004159
homo_sapiens ENSG00000124251
pongo_abelii ENSPPYG00000011056
nomascus_leucogenys ENSNLEG00000006708
saimiri_boliviensis_boliviensis ENSSBOG00000011757
cebus_capucinus ENSCCAG00000001769
callithrix_jacchus ENSCJAG00000017512
aotus_nancymaae ENSANAG00000019284
carlito_syrichta ENSTSYG00000009132
propithecus_coquereli ENSPCOG00000023205
microcebus_murinus ENSMICG00000014268
prolemur_simus ENSPSMG00000025057
otolemur_garnettii ENSOGAG00000010381
tupaia_belangeri ENSTBEG00000015004
pteropus_vampyrus ENSPVAG00000008757
myotis_lucifugus ENSMLUG00000005911
equus_asinus_asinus ENSEASG00005023392
equus_asinus_asinus ENSEASG00005023393
equus_caballus ENSECAG00000023518
erinaceus_europaeus ENSEEUG00000011102
ursus_americanus ENSUAMG00000017705
ursus_maritimus ENSUMAG00000025298
ailuropoda_melanoleuca ENSAMEG00000004260
mustela_putorius_furo ENSMPUG00000017634
neovison_vison ENSNVIG00000010705
canis_lupus_dingo ENSCAFG00020013906
vulpes_vulpes ENSVVUG00000018813
canis_lupus_familiaris ENSCAFG00000009683
panthera_pardus ENSPPRG00000005986
panthera_tigris_altaica ENSPTIG00000011043
felis_catus ENSFCAG00000009815
ovis_aries ENSOARG00000005370
capra_hircus ENSCHIG00000024772
bos_mutus ENSBMUG00000021240
bos_taurus ENSBTAG00000005184
bison_bison_bison ENSBBBG00000020342
tursiops_truncatus ENSTTRG00000013811
vicugna_pacos ENSVPAG00000005033
sus_scrofa ENSSSCG00000037072
dasypus_novemcinctus ENSDNOG00000004013
choloepus_hoffmanni ENSCHOG00000008344
loxodonta_africana ENSLAFG00000018728
echinops_telfairi ENSETEG00000014614
procavia_capensis ENSPCAG00000000380
sorex_araneus ENSSARG00000013266
phascolarctos_cinereus ENSPCIG00000004066
sarcophilus_harrisii ENSSHAG00000013807
monodelphis_domestica ENSMODG00000016181
ornithorhynchus_anatinus ENSOANG00000008863
anas_platyrhynchos_platyrhynchos ENSAPLG00000019085
anser_brachyrhynchus ENSABRG00000015660
meleagris_gallopavo ENSMGAG00000003547
coturnix_japonica ENSCJPG00005020925
