taeniopygia_guttata ENSTGUG00000000102
lonchura_striata_domestica ENSLSDG00000014583
ficedula_albicollis ENSFALG00000011762
parus_major ENSPMJG00000004528
junco_hyemalis ENSJHYG00000014294
zonotrichia_albicollis ENSZALG00000001584
lepidothrix_coronata ENSLCOG00000001351
anser_brachyrhynchus ENSABRG00000005824
anas_platyrhynchos_platyrhynchos ENSAPLG00000028021
calidris_pygmaea ENSCPGG00000000157
apteryx_haastii ENSAHAG00000008808
apteryx_rowi ENSARWG00000015778
dromaius_novaehollandiae ENSDNVG00000005417
nothoprocta_perdicaria ENSNPEG00000011080
crocodylus_porosus ENSCPRG00005013023
gopherus_agassizii ENSGAGG00000019015
salvator_merianae ENSSMRG00000019638
notechis_scutatus ENSNSUG00000001708
pogona_vitticeps ENSPVIG00000013058
gallus_gallus ENSGALG00000031679
coturnix_japonica ENSCJPG00005006146
notamacropus_eugenii ENSMEUG00000009151
phascolarctos_cinereus ENSPCIG00000031861
monodelphis_domestica ENSMODG00000011284
bos_mutus ENSBMUG00000013607
bos_taurus ENSBTAG00000017189
capra_hircus ENSCHIG00000023864
tursiops_truncatus ENSTTRG00000010069
sus_scrofa ENSSSCG00000038307
erinaceus_europaeus ENSEEUG00000009978
equus_caballus ENSECAG00000021745
equus_asinus_asinus ENSEASG00005010709
pteropus_vampyrus ENSPVAG00000015458
myotis_lucifugus ENSMLUG00000009041
ursus_americanus ENSUAMG00000024327
ailuropoda_melanoleuca ENSAMEG00000017073
neovison_vison ENSNVIG00000019850
mustela_putorius_furo ENSMPUG00000008356
canis_lupus_dingo ENSCAFG00020014217
canis_lupus_familiaris ENSCAFG00000008186
vulpes_vulpes ENSVVUG00000003999
felis_catus ENSFCAG00000039901
panthera_pardus ENSPPRG00000007674
chinchilla_lanigera ENSCLAG00000004786
octodon_degus ENSODEG00000010898
cavia_porcellus ENSCPOG00000036220
heterocephalus_glaber_female ENSHGLG00000005220
heterocephalus_glaber_male ENSHGLG00100004692
heterocephalus_glaber_male ENSHGLG00100019828
castor_canadensis ENSCCNG00000009917
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029536
mus_spicilegus ENSMSIG00000021737
mus_musculus ENSMUSG00000030042
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028530
mus_pahari MGP_PahariEiJ_G0022265
rattus_norvegicus ENSRNOG00000006102
rattus_norvegicus ENSRNOG00000047487
meriones_unguiculatus ENSMUGG00000022535
cricetulus_griseus_chok1gshd ENSCGRG00001013295
cricetulus_griseus_crigri-picr ENSCGRG00015014894
mesocricetus_auratus ENSMAUG00000002015
microtus_ochrogaster ENSMOCG00000016768
peromyscus_maniculatus_bairdii ENSPEMG00000028015
nannospalax_galili ENSNGAG00000000010
jaculus_jaculus ENSJJAG00000007576
urocitellus_parryii ENSUPAG00010016344
ictidomys_tridecemlineatus ENSSTOG00000030120
marmota_marmota_marmota ENSMMMG00000005188
tupaia_belangeri ENSTBEG00000009851
homo_sapiens ENSG00000115350
gorilla_gorilla ENSGGOG00000004491
pan_paniscus ENSPPAG00000030474
pan_troglodytes ENSPTRG00000012105
