cavia_porcellus ENSCPOG00000035848
cavia_aperea ENSCAPG00000015610
chinchilla_lanigera ENSCLAG00000000040
mus_musculus ENSMUSG00000102206
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023063
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022153
mus_pahari MGP_PahariEiJ_G0018888
ochotona_princeps ENSOPRG00000018840
oryctolagus_cuniculus ENSOCUG00000013701
pan_paniscus ENSPPAG00000028775
homo_sapiens ENSG00000249158
ursus_maritimus ENSUMAG00000012820
ursus_americanus ENSUAMG00000011855
canis_lupus_dingo ENSCAFG00020000182
vulpes_vulpes ENSVVUG00000017333
myotis_lucifugus ENSMLUG00000014001
pteropus_vampyrus ENSPVAG00000004932
ovis_aries ENSOARG00000018746
sus_scrofa ENSSSCG00000024998
vicugna_pacos ENSVPAG00000002469
