pteropus_vampyrus ENSPVAG00000013969
ursus_maritimus ENSUMAG00000000890
carlito_syrichta ENSTSYG00000028639
carlito_syrichta ENSTSYG00000025551
rhinopithecus_bieti ENSRBIG00000032110
rhinopithecus_roxellana ENSRROG00000027634
piliocolobus_tephrosceles ENSPTEG00000006412
macaca_mulatta ENSMMUG00000014692
macaca_nemestrina ENSMNEG00000017842
macaca_fascicularis ENSMFAG00000027496
papio_anubis ENSPANG00000012180
chlorocebus_sabaeus ENSCSAG00000001595
theropithecus_gelada ENSTGEG00000016316
mandrillus_leucophaeus ENSMLEG00000037706
cercocebus_atys ENSCATG00000035105
pan_paniscus ENSPPAG00000043294
pan_troglodytes ENSPTRG00000039130
homo_sapiens ENSG00000083812
pongo_abelii ENSPPYG00000010506
saimiri_boliviensis ENSSBOG00000019549
callithrix_jacchus ENSCJAG00000040314
aotus_nancymaae ENSANAG00000032689
aotus_nancymaae ENSANAG00000020184
pan_troglodytes ENSPTRG00000011594
pan_paniscus ENSPPAG00000040194
homo_sapiens ENSG00000249471
pongo_abelii ENSPPYG00000010505
nomascus_leucogenys ENSNLEG00000011156
colobus_angolensis ENSCANG00000035489
piliocolobus_tephrosceles ENSPTEG00000006354
rhinopithecus_roxellana ENSRROG00000002987
macaca_fascicularis ENSMFAG00000046027
cercocebus_atys ENSCATG00000022853
papio_anubis ENSPANG00000003803
theropithecus_gelada ENSTGEG00000016296
mandrillus_leucophaeus ENSMLEG00000032740
saimiri_boliviensis ENSSBOG00000013013
cebus_capucinus ENSCCAG00000021462
gorilla_gorilla ENSGGOG00000000639
microcebus_murinus ENSMICG00000026653
microcebus_murinus ENSMICG00000034527
prolemur_simus ENSPSMG00000009016
otolemur_garnettii ENSOGAG00000026457
otolemur_garnettii ENSOGAG00000027029
spermophilus_dauricus ENSSDAG00000011813
ictidomys_tridecemlineatus ENSSTOG00000002106
urocitellus_parryii ENSUPAG00010006451
ochotona_princeps ENSOPRG00000007423
cavia_porcellus ENSCPOG00000039862
cavia_aperea ENSCAPG00000014178
chinchilla_lanigera ENSCLAG00000000337
heterocephalus_glaber ENSHGLG00100008725
heterocephalus_glaber ENSHGLG00000007374
fukomys_damarensis ENSFDAG00000006663
echinops_telfairi ENSETEG00000010320
