panthera_pardus ENSPPRG00000010143
felis_catus ENSFCAG00000036372
ursus_americanus ENSUAMG00000012931
bos_mutus ENSBMUG00000024391
ursus_americanus ENSUAMG00000022532
ursus_maritimus ENSUMAG00000023995
canis_lupus_dingo ENSCAFG00020010727
vulpes_vulpes ENSVVUG00000002002
sorex_araneus ENSSARG00000010625
prolemur_simus ENSPSMG00000006066
theropithecus_gelada ENSTGEG00000005288
urocitellus_parryii ENSUPAG00010018138
marmota_marmota_marmota ENSMMMG00000000094
calidris_pugnax ENSCPUG00000008562
gallus_gallus ENSGALG00000047875
