saimiri_boliviensis_boliviensis ENSSBOG00000024394
cebus_capucinus ENSCCAG00000037248
colobus_angolensis_palliatus ENSCANG00000025963
rhinopithecus_roxellana ENSRROG00000002148
cercocebus_atys ENSCATG00000034041
mandrillus_leucophaeus ENSMLEG00000040685
papio_anubis ENSPANG00000030931
macaca_nemestrina ENSMNEG00000028101
macaca_fascicularis ENSMFAG00000031136
pan_troglodytes ENSPTRG00000034082
pan_paniscus ENSPPAG00000014787
pongo_abelii ENSPPYG00000006321
macaca_nemestrina ENSMNEG00000030454
macaca_fascicularis ENSMFAG00000042519
mandrillus_leucophaeus ENSMLEG00000038883
cercocebus_atys ENSCATG00000031899
papio_anubis ENSPANG00000019670
rhinopithecus_bieti ENSRBIG00000035300
rhinopithecus_roxellana ENSRROG00000043532
nomascus_leucogenys ENSNLEG00000032348
