amphiprion_ocellaris ENSAOCG00000017094
amphiprion_percula ENSAPEG00000001575
acanthochromis_polyacanthus ENSAPOG00000021276
stegastes_partitus ENSSPAG00000003947
pundamilia_nyererei ENSPNYG00000021808
maylandia_zebra ENSMZEG00005017623
astatotilapia_calliptera ENSACLG00000020540
haplochromis_burtoni ENSHBUG00000023738
oreochromis_niloticus ENSONIG00000014512
amphilophus_citrinellus ENSACIG00000003268
gasterosteus_aculeatus ENSGACG00000002388
seriola_dumerili ENSSDUG00000004585
seriola_lalandi_dorsalis ENSSLDG00000011753
scophthalmus_maximus ENSSMAG00000019482
takifugu_rubripes ENSTRUG00000020718
mola_mola ENSMMOG00000004884
hippocampus_comes ENSHCOG00000016950
fundulus_heteroclitus ENSFHEG00000004053
gambusia_affinis ENSGAFG00000010061
kryptolebias_marmoratus ENSKMAG00000005492
oryzias_latipes ENSORLG00000028174
oryzias_latipes ENSORLG00020003505
oryzias_latipes_asm223469v1 ENSORLG00015020750
oryzias_melastigma ENSOMEG00000015041
cynoglossus_semilaevis ENSCSEG00000008677
mastacembelus_armatus ENSMAMG00000022109
monopterus_albus ENSMALG00000006409
anabas_testudineus ENSATEG00000016471
