periophthalmus_magnuspinnatus ENSPMGG00000017873
hippocampus_comes ENSHCOG00000001151
scophthalmus_maximus ENSSMAG00000014758
cynoglossus_semilaevis ENSCSEG00000005193
mola_mola ENSMMOG00000001181
fundulus_heteroclitus ENSFHEG00000016623
cyprinodon_variegatus ENSCVAG00000008732
poecilia_formosa ENSPFOG00000012980
poecilia_mexicana ENSPMEG00000007723
poecilia_latipinna ENSPLAG00000010562
poecilia_reticulata ENSPREG00000010190
xiphophorus_maculatus ENSXMAG00000013401
xiphophorus_couchianus ENSXCOG00000016074
gambusia_affinis ENSGAFG00000019913
kryptolebias_marmoratus ENSKMAG00000001964
oryzias_latipes ENSORLG00000001641
oryzias_latipes_asm223469v1 ENSORLG00015010927
oryzias_latipes ENSORLG00020021225
oryzias_melastigma ENSOMEG00000016659
labrus_bergylta ENSLBEG00000009772
gasterosteus_aculeatus ENSGACG00000017211
amphiprion_percula ENSAPEG00000007425
amphiprion_ocellaris ENSAOCG00000021101
acanthochromis_polyacanthus ENSAPOG00000006346
stegastes_partitus ENSSPAG00000008462
astatotilapia_calliptera ENSACLG00000020191
maylandia_zebra ENSMZEG00005006333
pundamilia_nyererei ENSPNYG00000012682
haplochromis_burtoni ENSHBUG00000015102
neolamprologus_brichardi ENSNBRG00000022228
oreochromis_niloticus ENSONIG00000002719
amphilophus_citrinellus ENSACIG00000011507
seriola_lalandi_dorsalis ENSSLDG00000021521
seriola_dumerili ENSSDUG00000019988
mastacembelus_armatus ENSMAMG00000020640
monopterus_albus ENSMALG00000009821
anabas_testudineus ENSATEG00000017210
takifugu_rubripes ENSTRUG00000006693
tetraodon_nigroviridis ENSTNIG00000016840
gadus_morhua ENSGMOG00000004419
esox_lucius ENSELUG00000001516
pygocentrus_nattereri ENSPNAG00000019495
astyanax_mexicanus ENSAMXG00000012318
ictalurus_punctatus ENSIPUG00000022288
danio_rerio ENSDARG00000071496
scleropages_formosus ENSSFOG00015008046
paramormyrops_kingsleyae ENSPKIG00000017718
scleropages_formosus ENSSFOG00015011719
lepisosteus_oculatus ENSLOCG00000015156
