cricetulus_griseus_crigri-picr ENSCGRG00015028662
cricetulus_griseus_chok1gshd ENSCGRG00001010232
cricetulus_griseus_crigri ENSCGRG00000019825
mus_spicilegus ENSMSIG00000025299
mus_musculus ENSMUSG00000071586
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021248
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020355
mus_pahari MGP_PahariEiJ_G0020354
jaculus_jaculus ENSJJAG00000003834
heterocephalus_glaber_female ENSHGLG00000019973
heterocephalus_glaber_male ENSHGLG00100020315
cavia_porcellus ENSCPOG00000032672
marmota_marmota_marmota ENSMMMG00000003318
spermophilus_dauricus ENSSDAG00000008635
urocitellus_parryii ENSUPAG00010020704
ictidomys_tridecemlineatus ENSSTOG00000025374
castor_canadensis ENSCCNG00000021666
loxodonta_africana ENSLAFG00000029818
