caenorhabditis_elegans WBGene00000485
drosophila_melanogaster FBgn0023096
ictalurus_punctatus ENSIPUG00000002106
ictalurus_punctatus ENSIPUG00000002069
ictalurus_punctatus ENSIPUG00000002128
electrophorus_electricus ENSEEEG00000018049
astyanax_mexicanus ENSAMXG00005019153
astyanax_mexicanus ENSAMXG00000003700
pygocentrus_nattereri ENSPNAG00000027157
electrophorus_electricus ENSEEEG00000001772
danio_rerio ENSDARG00000113761
denticeps_clupeoides ENSDCDG00000032321
erpetoichthys_calabaricus ENSECRG00000003526
erpetoichthys_calabaricus ENSECRG00000003493
latimeria_chalumnae ENSLACG00000009671
latimeria_chalumnae ENSLACG00000000931
hucho_hucho ENSHHUG00000033253
pygocentrus_nattereri ENSPNAG00000000142
calidris_pygmaea ENSCPGG00000010441
calidris_pugnax ENSCPUG00000000766
melopsittacus_undulatus ENSMUNG00000003297
manacus_vitellinus ENSMVIG00005012933
lepidothrix_coronata ENSLCOG00000012153
ficedula_albicollis ENSFALG00000000409
ficedula_albicollis ENSFALG00000000407
ficedula_albicollis ENSFALG00000000411
junco_hyemalis ENSJHYG00000001476
junco_hyemalis ENSJHYG00000001315
zonotrichia_albicollis ENSZALG00000012751
serinus_canaria ENSSCAG00000004049
lonchura_striata ENSLSDG00000017388
lonchura_striata ENSLSDG00000017375
taeniopygia_guttata ENSTGUG00000012697
cyanistes_caeruleus ENSCCEG00000023910
cyanistes_caeruleus ENSCCEG00000023909
parus_major ENSPMJG00000017833
parus_major ENSPMJG00000017834
anas_platyrhynchos ENSAPLG00000008375
anas_platyrhynchos ENSAPLG00000030587
anas_platyrhynchos ENSAPLG00000020307
anser_brachyrhynchus ENSABRG00000008204
meleagris_gallopavo ENSMGAG00000015167
meleagris_gallopavo ENSMGAG00000016922
coturnix_japonica ENSCJPG00005003535
gallus_gallus ENSGALG00000041814
numida_meleagris ENSNMEG00000019605
dromaius_novaehollandiae ENSDNVG00000018307
dromaius_novaehollandiae ENSDNVG00000018312
apteryx_haastii ENSAHAG00000005610
apteryx_owenii ENSAOWG00000008537
apteryx_rowi ENSARWG00000014743
nothoprocta_perdicaria ENSNPEG00000002899
dromaius_novaehollandiae ENSDNVG00000007964
apteryx_haastii ENSAHAG00000000970
larimichthys_crocea ENSLCRG00005003982
crocodylus_porosus ENSCPRG00005014624
gopherus_agassizii ENSGAGG00000016674
chelonoidis_abingdonii ENSCABG00000003673
chrysemys_picta ENSCPBG00000027489
