apteryx_owenii ENSAOWG00000014657
apteryx_haastii ENSAHAG00000002701
apteryx_rowi ENSARWG00000014626
dromaius_novaehollandiae ENSDNVG00000009278
nothoprocta_perdicaria ENSNPEG00000014514
parus_major ENSPMJG00000008471
cyanistes_caeruleus ENSCCEG00000023468
ficedula_albicollis ENSFALG00000010640
junco_hyemalis ENSJHYG00000015563
zonotrichia_albicollis ENSZALG00000016643
serinus_canaria ENSSCAG00000012590
taeniopygia_guttata ENSTGUG00000003332
lonchura_striata_domestica ENSLSDG00000015731
lepidothrix_coronata ENSLCOG00000015634
manacus_vitellinus ENSMVIG00005014040
melopsittacus_undulatus ENSMUNG00000012572
calidris_pygmaea ENSCPGG00000018727
calidris_pugnax ENSCPUG00000015218
anser_brachyrhynchus ENSABRG00000004744
anas_platyrhynchos_platyrhynchos ENSAPLG00000016388
gallus_gallus ENSGALG00000035462
meleagris_gallopavo ENSMGAG00000003688
coturnix_japonica ENSCJPG00005008054
numida_meleagris ENSNMEG00000011926
crocodylus_porosus ENSCPRG00005008314
chelonoidis_abingdonii ENSCABG00000002355
gopherus_agassizii ENSGAGG00000006117
chrysemys_picta_bellii ENSCPBG00000024247
pelodiscus_sinensis ENSPSIG00000009905
pogona_vitticeps ENSPVIG00000006538
notechis_scutatus ENSNSUG00000019619
salvator_merianae ENSSMRG00000001882
sphenodon_punctatus ENSSPUG00000006298
sarcophilus_harrisii ENSSHAG00000017480
sarcophilus_harrisii ENSSHAG00000017490
notamacropus_eugenii ENSMEUG00000001630
monodelphis_domestica ENSMODG00000021441
phascolarctos_cinereus ENSPCIG00000019022
monodelphis_domestica ENSMODG00000011768
ovis_aries ENSOARG00000000881
capra_hircus ENSCHIG00000023111
bos_mutus ENSBMUG00000003707
bos_taurus ENSBTAG00000002504
bison_bison_bison ENSBBBG00000010514
tursiops_truncatus ENSTTRG00000000698
sus_scrofa ENSSSCG00000001756
vicugna_pacos ENSVPAG00000008245
ursus_americanus ENSUAMG00000017908
ursus_maritimus ENSUMAG00000011242
ailuropoda_melanoleuca ENSAMEG00000012645
mustela_putorius_furo ENSMPUG00000010978
neovison_vison ENSNVIG00000009909
canis_lupus_familiaris ENSCAFG00000001766
canis_lupus_dingo ENSCAFG00020021072
vulpes_vulpes ENSVVUG00000007811
panthera_pardus ENSPPRG00000003145
panthera_tigris_altaica ENSPTIG00000021418
felis_catus ENSFCAG00000001921
equus_asinus_asinus ENSEASG00005015622
equus_caballus ENSECAG00000016731
pteropus_vampyrus ENSPVAG00000014630
myotis_lucifugus ENSMLUG00000006783
oryctolagus_cuniculus ENSOCUG00000009907
ochotona_princeps ENSOPRG00000000340
chinchilla_lanigera ENSCLAG00000008985
octodon_degus ENSODEG00000015993
cavia_porcellus ENSCPOG00000013905
cavia_aperea ENSCAPG00000011854
heterocephalus_glaber_female ENSHGLG00000000783
heterocephalus_glaber_male ENSHGLG00100019429
fukomys_damarensis ENSFDAG00000009355
homo_sapiens ENSG00000136381
gorilla_gorilla ENSGGOG00000015650
pan_troglodytes ENSPTRG00000007342
pan_paniscus ENSPPAG00000038956
pongo_abelii ENSPPYG00000006696
nomascus_leucogenys ENSNLEG00000008549
cercocebus_atys ENSCATG00000033462
papio_anubis ENSPANG00000015813
theropithecus_gelada ENSTGEG00000001302
macaca_fascicularis ENSMFAG00000039630
macaca_mulatta ENSMMUG00000045680
macaca_nemestrina ENSMNEG00000039698
mandrillus_leucophaeus ENSMLEG00000031047
chlorocebus_sabaeus ENSCSAG00000014904
piliocolobus_tephrosceles ENSPTEG00000018050
colobus_angolensis_palliatus ENSCANG00000029420
rhinopithecus_bieti ENSRBIG00000033855
rhinopithecus_roxellana ENSRROG00000001424
cebus_capucinus ENSCCAG00000021202
saimiri_boliviensis_boliviensis ENSSBOG00000030803
callithrix_jacchus ENSCJAG00000010259
aotus_nancymaae ENSANAG00000021994
carlito_syrichta ENSTSYG00000011729
microcebus_murinus ENSMICG00000005757
propithecus_coquereli ENSPCOG00000021988
prolemur_simus ENSPSMG00000000474
otolemur_garnettii ENSOGAG00000010622
tupaia_belangeri ENSTBEG00000010922
mus_musculus ENSMUSG00000032293
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033375
mus_spicilegus ENSMSIG00000004297
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032235
mus_pahari MGP_PahariEiJ_G0015103
rattus_norvegicus ENSRNOG00000013271
meriones_unguiculatus ENSMUGG00000015828
cricetulus_griseus_chok1gshd ENSCGRG00001019234
cricetulus_griseus_crigri ENSCGRG00000016786
cricetulus_griseus_crigri-picr ENSCGRG00015026205
mesocricetus_auratus ENSMAUG00000020717
peromyscus_maniculatus_bairdii ENSPEMG00000020204
microtus_ochrogaster ENSMOCG00000010784
nannospalax_galili ENSNGAG00000017333
jaculus_jaculus ENSJJAG00000019768
castor_canadensis ENSCCNG00000027956
dipodomys_ordii ENSDORG00000014339
ictidomys_tridecemlineatus ENSSTOG00000009273
spermophilus_dauricus ENSSDAG00000015071
marmota_marmota_marmota ENSMMMG00000001216
choloepus_hoffmanni ENSCHOG00000004107
dasypus_novemcinctus ENSDNOG00000009614
loxodonta_africana ENSLAFG00000012839
procavia_capensis ENSPCAG00000001992
echinops_telfairi ENSETEG00000012717
sorex_araneus ENSSARG00000001203
erinaceus_europaeus ENSEEUG00000007999
urocitellus_parryii ENSUPAG00010023605
ornithorhynchus_anatinus ENSOANG00000013218
ornithorhynchus_anatinus ENSOANG00000003852
